
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
1,1983,5,1983-10-02,22-219,KAN,,STL,W 38-14,,4,5,80.00,48,1,0,146.2,9.60,13.60,0,0,,0,0,0
2,1983,7,1983-10-16,22-233,KAN,,NYG,W 38-17,,0,0,,0,0,0,,,,0,0,,0,,
3,1983,12,1983-11-20,22-268,KAN,@,DAL,L 21-41,,10,19,52.63,95,1,0,84.3,5.00,6.05,1,0,0.00,0,0,0
4,1983,16,1983-12-18,22-296,KAN,,DEN,W 48-17,,6,10,60.00,116,1,0,133.7,11.60,13.60,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
5,1984,1,1984-09-02,23-190,KAN,@,PIT,W 37-27,*,19,36,52.78,170,1,0,75.0,4.72,5.28,2,5,2.50,1,1,6
6,1984,2,1984-09-09,23-197,KAN,@,CIN,W 27-22,*,18,35,51.43,280,2,1,85.4,8.00,7.86,3,12,4.00,0,0,0
7,1984,3,1984-09-16,23-204,KAN,,RAI,L 20-22,*,17,37,45.95,187,0,2,38.9,5.05,2.62,0,0,,0,0,0
8,1984,4,1984-09-23,23-211,KAN,@,DEN,L 0-21,*,23,48,47.92,295,0,2,50.3,6.15,4.27,2,5,2.50,0,0,0
9,1984,5,1984-09-30,23-218,KAN,,CLE,W 10-6,*,15,33,45.45,155,1,2,44.4,4.70,2.58,4,3,0.75,0,0,0
10,1984,6,1984-10-07,23-225,KAN,,NYJ,L 16-17,*,15,25,60.00,150,1,0,90.4,6.00,6.80,3,41,13.67,0,0,0
11,1984,7,1984-10-14,23-232,KAN,,SDG,W 31-13,*,10,19,52.63,133,0,1,53.2,7.00,4.63,1,4,4.00,0,0,0
