
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
1,1960,2,1960-10-02,25-049,SFO,,RAM,W 13-9,,1,1,100.00,20,0,0,118.7,20.00,20.00,0,0,,0,0,0
2,1960,3,1960-10-09,25-056,SFO,@,DET,W 14-10,,8,13,61.54,105,2,0,126.6,8.08,11.15,2,29,14.50,0,0,0
3,1960,4,1960-10-16,25-063,SFO,@,CHI,L 10-27,*,14,26,53.85,107,0,0,64.1,4.12,4.12,2,5,2.50,0,0,0
4,1960,5,1960-10-23,25-070,SFO,@,GNB,L 14-41,*,0,13,0.00,0,0,1,7.5,0.00,-3.46,0,0,,0,0,0
5,1960,6,1960-10-30,25-077,SFO,,CHI,W 25-7,,8,12,66.67,89,1,0,116.3,7.42,9.08,1,1,1.00,0,0,0
6,1960,7,1960-11-06,25-084,SFO,,DET,L 0-24,*,19,31,61.29,151,0,3,33.9,4.87,0.52,1,10,10.00,0,0,0
7,1960,8,1960-11-20,25-098,SFO,@,DAL,W 26-14,*,13,29,44.83,128,0,2,29.1,4.41,1.31,4,65,16.25,0,0,0
8,1960,9,1960-11-27,25-105,SFO,@,BAL,W 30-22,*,12,23,52.17,207,1,0,97.6,9.00,9.87,1,4,4.00,0,0,0
9,1960,10,1960-12-04,25-112,SFO,@,RAM,W 23-7,*,11,16,68.75,164,1,0,122.9,10.25,11.50,3,24,8.00,0,0,0
10,1960,11,1960-12-10,25-118,SFO,,GNB,L 0-13,*,7,19,36.84,41,0,1,23.4,2.16,-0.21,1,14,14.00,0,0,0
11,1960,12,1960-12-18,25-126,SFO,,BAL,W 34-10,*,10,24,41.67,99,1,2,33.2,4.13,1.21,3,19,6.33,1,1,6
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
