
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1975,8,1975-11-09,23-101,GNB,@,CHI,L 14-27,,3,4,75.00,63,1,0,156.2,15.75,20.75,0,0,,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
2,1976,3,1976-09-26,24-057,GNB,@,CIN,L 7-28,,0,3,0.00,0,0,1,0.0,0.00,-15.00,0,0,,0
3,1976,5,1976-10-10,24-071,GNB,,SEA,W 27-20,,0,0,,0,0,0,,,,1,11,11.00,0
4,1976,8,1976-10-31,24-092,GNB,@,DET,L 6-27,,1,1,100.00,9,0,0,104.2,9.00,9.00,0,0,,0
5,1976,10,1976-11-14,24-106,GNB,@,CHI,L 13-24,,2,4,50.00,24,0,0,68.7,6.00,6.00,0,0,,0
6,1976,11,1976-11-21,24-113,GNB,,MIN,L 10-17,*,11,25,44.00,82,0,3,12.8,3.28,-2.12,5,11,2.20,0
7,1976,12,1976-11-28,24-120,GNB,,CHI,L 10-16,*,5,17,29.41,125,1,2,37.7,7.35,3.24,4,22,5.50,0
8,1976,13,1976-12-05,24-127,GNB,@,MIN,L 9-20,*,7,24,29.17,93,1,0,57.1,3.88,4.71,2,5,2.50,0
,,,8 Games,,,,,1-7-0,,29,78,37.18,396,3,6,35.0,5.08,2.38,12,49,4.08,0
