
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Pnt,Yds,Y/P,Blck
1,1960,1,1960-09-25,31-335,CHI,@,GNB,W 17-14,*,0,3,0.00,0,0,1,0.0,0.00,-15.00,0,0,,0,,0,0,,0,,,,,,,0,0,4,156,39.00,0
2,1960,2,1960-10-02,31-342,CHI,@,BAL,L 7-42,*,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,,0,0,,0,,,,,,,0,0,0,0,,0
3,1960,3,1960-10-09,31-349,CHI,,RAM,W 34-27,*,13,21,61.90,333,3,1,125.5,15.86,16.57,4,22,5.50,1,,0,0,,0,,,,,,,1,6,2,25,12.50,1
4,1960,4,1960-10-16,31-356,CHI,,SFO,W 27-10,*,3,8,37.50,115,1,0,125.0,14.38,16.88,2,1,0.50,0,,0,0,,0,,,,,,,0,0,7,321,45.86,0
5,1960,5,1960-10-23,31-363,CHI,@,RAM,T 24-24,*,3,9,33.33,25,0,1,2.8,2.78,-2.22,2,-3,-1.50,0,,0,0,,0,,,,,,,0,0,5,250,50.00,0
6,1960,6,1960-10-30,32-004,CHI,@,SFO,L 7-25,*,5,17,29.41,58,0,1,16.8,3.41,0.76,2,11,5.50,0,,1,-6,-6.00,0,,,,,,,0,0,5,267,53.40,0
7,1960,7,1960-11-13,32-018,CHI,,BAL,L 20-24,*,4,13,30.77,60,0,4,7.4,4.62,-9.23,2,5,2.50,0,,0,0,,0,,,,,,,0,0,2,95,47.50,0
8,1960,8,1960-11-20,32-025,CHI,,DET,W 28-7,*,6,15,40.00,132,1,0,94.3,8.80,10.13,3,36,12.00,1,,0,0,,0,,,,,,,1,6,7,273,39.00,0
9,1960,9,1960-11-27,32-032,CHI,,DAL,W 17-7,,8,17,47.06,73,1,1,54.3,4.29,2.82,1,1,1.00,0,,0,0,,0,,,,,,,0,0,6,210,35.00,0
10,1960,10,1960-12-04,32-039,CHI,,GNB,L 13-41,*,6,8,75.00,108,1,0,156.2,13.50,16.00,1,11,11.00,0,,0,0,,0,,,,,,,0,0,5,157,31.40,1
11,1960,11,1960-12-11,32-046,CHI,@,CLE,L 0-42,*,6,16,37.50,95,0,2,18.5,5.94,0.31,1,4,4.00,0,,0,0,,0,,,,,,,0,0,5,214,42.80,0
12,1960,12,1960-12-18,32-053,CHI,@,DET,L 0-36,*,5,21,23.81,80,0,0,43.0,3.81,3.81,1,1,1.00,0,,0,0,,0,,,,,,,0,0,8,271,33.88,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Pnt,Yds,Y/P,Blck
13,1961,1,1961-09-17,32-326,CHI,@,MIN,L 13-37,*,2,7,28.57,37,0,2,9.5,5.29,-7.57,4,29,7.25,0,,0,0,,0,,,,,,,0,0,1,30,30.00,0
14,1961,2,1961-09-23,32-332,CHI,@,RAM,W 21-17,*,7,15,46.67,160,1,2,68.1,10.67,6.00,0,0,,0,,0,0,,0,,,,,,,0,0,7,282,40.29,0
15,1961,3,1961-10-01,32-340,CHI,@,GNB,L 0-24,*,10,22,45.45,123,0,3,23.7,5.59,-0.55,3,8,2.67,0,,0,0,,0,,,,,,,0,0,6,240,40.00,0
16,1961,4,1961-10-08,32-347,CHI,@,DET,W 31-17,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,,,,,,,0,0,5,230,46.00,0
17,1961,5,1961-10-15,32-354,CHI,,BAL,W 24-10,,8,13,61.54,181,2,1,113.0,13.92,13.54,1,-7,-7.00,0,,0,0,,0,,,,,,,0,0,4,179,44.75,0
18,1961,6,1961-10-22,32-361,CHI,,SFO,W 31-0,,0,0,,0,0,0,,,,0,0,,0,,0,0,,0,1,1,100.0,1,1,100.0,0,4,5,220,44.00,0
19,1961,7,1961-10-29,33-003,CHI,@,BAL,W 21-20,,0,0,,0,0,0,,,,1,-11,-11.00,0,,0,0,,0,,,,,,,0,0,4,184,46.00,0
20,1961,8,1961-11-05,33-010,CHI,@,PHI,L 14-16,,2,7,28.57,13,0,0,39.6,1.86,1.86,3,1,0.33,0,,0,0,,0,,,,,1,0.0,0,0,7,337,48.14,0
