
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
1,1970,14,1970-12-20,23-204,SDG,,KAN,W 31-13,,1,2,50.00,48,0,0,95.8,24.00,24.00,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
2,1972,1,1972-09-17,25-110,SDG,@,SFO,L 3-34,,2,5,40.00,67,0,2,47.9,13.40,-4.60,1,-3,-3.00,0,0,0
3,1972,11,1972-11-26,25-180,SDG,,HOU,W 34-20,,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,0,0
4,1972,14,1972-12-17,25-201,SDG,,PIT,L 2-24,,0,0,,0,0,0,,,,1,-5,-5.00,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
5,1973,1,1973-09-16,26-109,SDG,@,WAS,L 0-38,,1,3,33.33,20,0,1,18.1,6.67,-8.33,0,0,,0,0,0
6,1973,2,1973-09-23,26-116,SDG,,BUF,W 34-7,,4,5,80.00,88,0,1,79.2,17.60,8.60,0,0,,0,0,0
7,1973,4,1973-10-07,26-130,SDG,@,PIT,L 21-38,,0,5,0.00,0,0,1,0.0,0.00,-9.00,1,7,7.00,0,0,0
8,1973,9,1973-11-11,26-165,SDG,@,DEN,L 19-30,*,12,21,57.14,122,0,0,73.9,5.81,5.81,2,11,5.50,0,0,0
9,1973,10,1973-11-18,26-172,SDG,,NOR,W 17-14,*,8,20,40.00,109,0,1,37.3,5.45,3.20,2,5,2.50,0,0,0
10,1973,11,1973-11-25,26-179,SDG,@,OAK,L 3-31,*,6,15,40.00,121,0,1,41.3,8.07,5.07,2,7,3.50,0,0,0
11,1973,12,1973-12-02,26-186,SDG,@,NWE,L 14-30,*,5,8,62.50,46,0,1,38.5,5.75,0.13,5,46,9.20,0,0,0
12,1973,14,1973-12-16,26-200,SDG,@,KAN,L 6-33,,4,13,30.77,26,0,3,0.6,2.00,-8.38,1,10,10.00,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
13,1974,1,1974-09-15,27-108,CIN,,CLE,W 33-7,,1,1,100.00,9,0,0,104.2,9.00,9.00,0,0,,0,0,0
14,1974,3,1974-09-29,27-122,CIN,@,SFO,W 21-3,,2,2,100.00,21,0,0,110.4,10.50,10.50,1,8,8.00,1,1,6
15,1974,8,1974-11-03,27-157,CIN,@,BAL,W 24-14,,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,0,0
16,1974,11,1974-11-24,27-178,CIN,,KAN,W 33-6,,1,2,50.00,19,0,0,83.3,9.50,9.50,0,0,,0,0,0
17,1974,13,1974-12-08,27-192,CIN,,DET,L 19-23,,2,8,25.00,26,0,2,1.0,3.25,-8.00,0,0,,0,0,0
18,1974,14,1974-12-14,27-198,CIN,@,PIT,L 3-27,*,3,8,37.50,23,0,1,6.2,2.88,-2.75,0,0,,0,0,0
,,,18 Games,,,,,8-10-0,,52,120,43.33,745,0,14,24.5,6.21,0.96,16,86,5.38,1,1,6
