
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
1,1960,3,1960-10-16,25-118,CLE,@,DAL,W 48-7,,8,13,61.54,23,0,0,65.9,1.77,1.77,1,0,0.00,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
2,1961,4,1961-10-08,26-110,CLE,,WAS,W 31-7,,1,1,100.00,17,1,0,158.3,17.00,37.00,0,0,,0,0,0
3,1961,6,1961-10-22,26-124,CLE,@,PIT,W 30-28,*,6,12,50.00,68,0,2,27.8,5.67,-1.83,1,-10,-10.00,0,0,0
4,1961,11,1961-11-26,26-159,CLE,,NYG,L 21-37,,0,2,0.00,0,0,1,0.0,0.00,-22.50,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
5,1962,1,1962-09-08,27-080,DTX,,BOS,W 42-28,*,16,23,69.57,202,2,0,125.6,8.78,10.52,4,32,8.00,0,0,0
6,1962,2,1962-09-23,27-095,DTX,@,OAK,W 26-16,*,15,23,65.22,218,3,0,135.5,9.48,12.09,1,2,2.00,0,0,0
7,1962,3,1962-09-30,27-102,DTX,,BUF,W 41-21,*,12,19,63.16,258,3,1,124.5,13.58,14.37,5,59,11.80,0,0,0
8,1962,4,1962-10-07,27-109,DTX,@,SDG,L 28-32,*,12,24,50.00,156,3,2,75.7,6.50,5.25,2,5,2.50,0,0,0
