
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
1,1960,2,1960-10-09,27-105,WAS,,DAL,W 26-14,*,10,16,62.50,237,1,1,101.0,14.81,13.25,5,18,3.60,0,0,0
2,1960,3,1960-10-16,27-112,WAS,@,NYG,T 24-24,*,16,23,69.57,141,1,0,100.1,6.13,7.00,14,26,1.86,0,0,0
3,1960,4,1960-10-23,27-119,WAS,,PIT,T 27-27,*,16,23,69.57,276,2,0,139.0,12.00,13.74,8,22,2.75,0,0,0
4,1960,5,1960-10-30,27-126,WAS,,CLE,L 10-31,*,15,28,53.57,175,0,3,33.2,6.25,1.43,10,29,2.90,0,0,0
5,1960,6,1960-11-06,27-133,WAS,@,STL,L 7-44,*,3,10,30.00,36,0,2,2.5,3.60,-5.40,8,65,8.13,0,0,0
6,1960,7,1960-11-13,27-140,WAS,@,PHI,L 13-19,*,14,27,51.85,144,1,3,40.3,5.33,1.07,6,12,2.00,0,0,0
7,1960,8,1960-11-20,27-147,WAS,,STL,L 14-26,*,7,19,36.84,57,1,4,23.2,3.00,-5.42,2,10,5.00,0,0,0
8,1960,9,1960-11-27,27-154,WAS,@,PIT,L 10-22,*,12,24,50.00,160,1,3,45.8,6.67,1.88,4,-2,-0.50,0,0,0
9,1960,10,1960-12-04,27-161,WAS,@,CLE,L 16-27,*,17,26,65.38,125,0,1,60.6,4.81,3.08,10,8,0.80,0,0,0
10,1960,11,1960-12-11,27-168,WAS,,NYG,L 3-17,*,0,5,0.00,0,0,1,0.0,0.00,-9.00,4,1,0.25,0,0,0
11,1960,12,1960-12-18,27-175,WAS,,PHI,L 28-38,*,15,22,68.18,196,2,1,107.4,8.91,8.68,8,58,7.25,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
