
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A
1,2007,1,2007-09-09,23-092,NWE,@,NYJ,W 38-14,1,-1,-1.00,0,0,0,,0,0,0,,,
2,2007,2,2007-09-16,23-099,NWE,,SDG,W 38-14,2,-2,-1.00,0,0,0,,0,0,0,,,
3,2007,7,2007-10-21,23-134,NWE,@,MIA,W 49-28,0,0,,0,1,1,100.00,15,0,0,118.7,15.00,15.00
4,2007,8,2007-10-28,23-141,NWE,,WAS,W 52-7,2,-10,-5.00,0,0,0,,0,0,0,,,
5,2007,15,2007-12-23,23-197,NWE,,MIA,W 28-7,0,0,,0,0,0,,0,0,0,,,
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A
6,2009,7,2009-10-25,25-138,KAN,,SDG,L 7-37,0,0,,0,1,1,100.00,3,0,0,79.2,3.00,3.00
,,,6 Games,,,,,5-1-0,5,-13,-2.60,0,2,2,100.00,18,0,0,104.2,9.00,9.00
