
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,2002,12,2002-12-01,24-239,PHI,,STL,W 10-3,,,,,,,,,,,,,,
2,2002,13,2002-12-08,24-246,PHI,@,SEA,W 27-20,,,,,,,,,,,,,,
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
3,2003,8,2003-11-02,25-210,WAS,@,DAL,L 14-21,,2,3,66.67,20,0,0,85.4,6.67,6.67,1,-1,-1.00,0
4,2003,11,2003-11-23,25-231,WAS,@,MIA,L 23-24,,15,30,50.00,150,1,1,61.8,5.00,4.17,2,10,5.00,0
5,2003,12,2003-11-30,25-238,WAS,,NOR,L 20-24,*,22,42,52.38,231,0,1,58.7,5.50,4.43,3,10,3.33,0
6,2003,13,2003-12-07,25-245,WAS,@,NYG,W 20-7,*,13,19,68.42,154,2,0,128.0,8.11,10.21,2,-2,-1.00,0
7,2003,14,2003-12-14,25-252,WAS,,DAL,L 0-27,*,6,26,23.08,56,0,4,0.0,2.15,-4.77,1,2,2.00,0
8,2003,15,2003-12-21,25-259,WAS,@,CHI,L 24-27,*,16,25,64.00,209,2,0,116.9,8.36,9.96,3,5,1.67,0
9,2003,16,2003-12-27,25-265,WAS,,PHI,L 7-31,*,21,32,65.63,192,0,1,68.7,6.00,4.59,3,17,5.67,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
10,2005,1,2005-09-11,27-158,NYG,,ARI,W 42-19,,0,0,,0,0,0,,,,2,-3,-1.50,0
11,2005,7,2005-10-30,27-207,NYG,,WAS,W 36-0,,0,0,,0,0,0,,,,0,0,,0
12,2005,11,2005-11-27,27-235,NYG,@,SEA,L 21-24,,0,0,,0,0,0,,,,0,0,,0
13,2005,13,2005-12-11,27-249,NYG,@,PHI,W 26-23,,0,0,,0,0,0,,,,0,0,,0
14,2005,14,2005-12-17,27-255,NYG,,KAN,W 27-17,,0,0,,0,0,0,,,,0,0,,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
15,2007,16,2007-12-30,29-268,ARI,,STL,W 48-19,,0,0,,0,0,0,,,,1,-1,-1.00,0
,,,15 Games,,,,,8-7-0,,95,177,53.67,1012,5,7,63.6,5.72,4.50,18,37,2.06,0
