
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,2004,7,2004-10-31,24-261,DAL,,DET,W 31-21,,,,,,,,,,,,,,
2,2004,8,2004-11-07,24-268,DAL,@,CIN,L 3-26,,,,,,,,,,,,,,
3,2004,9,2004-11-15,24-276,DAL,,PHI,L 21-49,,,,,,,,,,,,,,
4,2004,10,2004-11-21,24-282,DAL,@,BAL,L 10-30,,6,6,100.00,47,1,0,138.9,7.83,11.17,1,7,7.00,0
5,2004,11,2004-11-25,24-286,DAL,,CHI,W 21-7,*,4,12,33.33,31,0,1,7.6,2.58,-1.17,0,0,,0
6,2004,12,2004-12-06,24-297,DAL,@,SEA,W 43-39,,,,,,,,,,,,,,
7,2004,13,2004-12-12,24-303,DAL,,NOR,L 13-27,,,,,,,,,,,,,,
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
8,2008,12,2008-11-27,28-288,DET,,TEN,L 10-47,,1,2,50.00,20,0,0,85.4,10.00,10.00,0,0,,0
9,2008,13,2008-12-07,28-298,DET,,MIN,L 16-20,,0,0,,0,0,0,,,,0,0,,0
,,,9 Games,,,,,3-6-0,,11,20,55.00,98,1,1,64.2,4.90,3.65,1,7,7.00,0
