
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Pnt,Yds,Y/P,Blck
1,1995,13,1995-12-03,24-329,OAK,,KAN,L 23-29,,5,11,45.45,118,2,0,124.2,10.73,14.36,0,0,,0,0,0,0,0,,0
2,1995,14,1995-12-10,24-336,OAK,,PIT,L 10-29,*,20,37,54.05,162,0,4,25.8,4.38,-0.49,2,-1,-0.50,0,0,0,0,0,,0
3,1995,15,1995-12-17,24-343,OAK,@,SEA,L 10-44,,8,13,61.54,127,1,0,119.7,9.77,11.31,1,6,6.00,0,0,0,0,0,,0
4,1995,16,1995-12-24,24-350,OAK,,DEN,L 28-31,*,11,19,57.89,133,3,0,119.1,7.00,10.16,0,0,,0,0,0,0,0,,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Pnt,Yds,Y/P,Blck
5,1996,1,1996-09-01,25-237,OAK,@,BAL,L 14-19,*,17,26,65.38,192,2,2,80.9,7.38,5.46,0,0,,0,0,0,0,0,,0
6,1996,2,1996-09-08,25-244,OAK,@,KAN,L 3-19,*,19,40,47.50,181,0,1,50.1,4.53,3.40,0,0,,0,0,0,0,0,,0
7,1996,4,1996-09-22,25-258,OAK,,SDG,L 34-40,,8,12,66.67,107,2,0,134.4,8.92,12.25,1,14,14.00,0,0,0,0,0,,0
8,1996,6,1996-10-06,25-272,OAK,@,NYJ,W 34-13,,0,0,,0,0,0,,,,1,-1,-1.00,0,0,0,0,0,,0
9,1996,12,1996-11-24,25-321,OAK,@,SEA,W 27-21,,0,0,,0,0,0,,,,0,0,,0,0,0,2,76,38.00,0
