
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
1,1982,1,1982-09-13,24-023,DAL,,PIT,L 28-36,,0,0,,0,0,0,,,,0,0,,0,,
2,1982,2,1982-09-19,24-029,DAL,@,STL,W 24-7,,0,0,,0,0,0,,,,0,0,,0,,
3,1982,4,1982-11-25,24-096,DAL,,CLE,W 31-14,,0,2,0.00,0,0,1,0.0,0.00,-22.50,2,0,0.00,0,0,0
4,1982,6,1982-12-13,24-114,DAL,@,HOU,W 37-7,,3,6,50.00,45,0,0,75.0,7.50,7.50,1,0,0.00,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
5,1983,2,1983-09-11,25-021,DAL,@,STL,W 34-17,,0,0,,0,0,0,,,,1,-4,-4.00,0,0,0
6,1983,7,1983-10-16,25-056,DAL,,PHI,W 37-7,,2,2,100.00,44,0,0,118.7,22.00,22.00,1,-2,-2.00,0,0,0
7,1983,9,1983-10-30,25-070,DAL,@,NYG,W 38-20,,1,1,100.00,6,0,0,91.7,6.00,6.00,0,0,,0,0,0
8,1983,12,1983-11-20,25-091,DAL,,KAN,W 41-21,,0,0,,0,0,0,,,,2,-2,-1.00,0,0,0
9,1983,14,1983-12-04,25-105,DAL,@,SEA,W 35-10,,4,4,100.00,60,1,0,158.3,15.00,20.00,2,-2,-1.00,0,0,0
10,1983,16,1983-12-19,25-120,DAL,@,SFO,L 17-42,,4,10,40.00,51,0,1,17.1,5.10,0.60,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
