
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1975,4,1975-10-12,23-193,OAK,@,KAN,L 10-42,,9,19,47.37,143,1,0,90.5,7.53,8.58,1,0,0.00,0
2,1975,6,1975-10-26,23-207,OAK,,SDG,W 25-0,,0,3,0.00,0,0,0,39.6,0.00,0.00,1,3,3.00,0
3,1975,7,1975-11-02,23-214,OAK,@,DEN,W 42-17,,0,2,0.00,0,0,1,0.0,0.00,-22.50,1,-2,-2.00,0
4,1975,8,1975-11-09,23-221,OAK,,NOR,W 48-10,,4,4,100.00,38,1,0,145.8,9.50,14.50,2,8,4.00,0
5,1975,13,1975-12-14,23-256,OAK,,HOU,L 26-27,,3,6,50.00,61,1,1,86.1,10.17,6.00,2,12,6.00,0
6,1975,14,1975-12-21,23-263,OAK,,KAN,W 28-20,,2,4,50.00,4,0,0,56.2,1.00,1.00,0,0,,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
7,1976,14,1976-12-12,24-254,OAK,,SDG,W 24-0,,3,5,60.00,41,0,0,86.2,8.20,8.20,0,0,,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
8,1978,3,1978-09-17,26-168,OAK,@,GNB,W 28-3,,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0
9,1978,7,1978-10-15,26-196,OAK,,KAN,W 28-6,,1,2,50.00,12,0,0,68.7,6.00,6.00,0,0,,0
10,1978,8,1978-10-22,26-203,OAK,@,SEA,L 7-27,,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0
11,1978,9,1978-10-29,26-210,OAK,,SDG,L 23-27,,1,1,100.00,7,0,0,95.8,7.00,7.00,0,0,,0
12,1978,12,1978-11-19,26-231,OAK,,DET,W 29-17,,0,0,,0,0,0,,,,1,-1,-1.00,0
13,1978,14,1978-12-03,26-245,OAK,,DEN,L 6-21,,4,8,50.00,54,0,1,32.3,6.75,1.13,0,0,,0
14,1978,15,1978-12-10,26-252,OAK,@,MIA,L 6-23,,1,2,50.00,12,0,0,68.7,6.00,6.00,0,0,,0
15,1978,16,1978-12-17,26-259,OAK,,MIN,W 27-20,,7,11,63.64,66,0,0,80.1,6.00,6.00,4,-3,-0.75,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
16,1980,15,1980-12-14,28-256,BUF,@,NWE,L 2-24,,4,14,28.57,39,0,1,9.8,2.79,-0.43,1,5,5.00,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
17,1981,14,1981-12-06,29-248,BAL,,DAL,L 13-37,*,7,24,29.17,90,0,2,8.0,3.75,0.00,0,0,,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
18,1982,1,1982-09-12,30-163,BAL,,NWE,L 13-24,,7,13,53.85,65,0,1,35.7,5.00,1.54,0,0,,0
19,1982,8,1982-12-26,30-268,BAL,@,SDG,L 26-44,,6,10,60.00,65,0,0,79.2,6.50,6.50,0,0,,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
20,1983,14,1983-12-01,31-243,RAI,@,SDG,W 42-10,,0,0,,0,0,0,,,,1,-1,-1.00,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
21,1984,9,1984-10-28,32-209,RAI,,DEN,L 19-22,,0,0,,0,0,0,,,,1,9,9.00,0
22,1984,10,1984-11-04,32-216,RAI,@,CHI,L 6-17,,4,7,57.14,56,0,1,43.5,8.00,1.57,1,-2,-2.00,0
,,,22 Games,,,,,10-12-0,,63,137,45.99,753,3,8,46.3,5.50,3.31,16,28,1.75,0
