
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1994,3,1994-09-18,26-005,MIN,@,CHI,W 42-14,,3,3,100.00,16,0,0,88.9,5.33,5.33,0,0,,0,0,0,0,,0,0,0
2,1994,6,1994-10-10,26-027,MIN,@,NYG,W 27-10,,0,0,,0,0,0,,,,2,-2,-1.00,0,0,0,0,,0,0,0
3,1994,8,1994-10-30,26-047,MIN,@,TAM,W 36-13,,5,5,100.00,30,0,0,91.7,6.00,6.00,0,0,,0,0,0,0,,0,0,0
4,1994,15,1994-12-17,26-095,MIN,@,DET,L 19-41,,14,29,48.28,104,0,0,57.3,3.59,3.59,0,0,,0,0,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
5,1995,4,1995-09-24,27-011,MIN,@,PIT,W 44-24,,1,1,100.00,36,0,0,118.7,36.00,36.00,3,-4,-1.33,0,0,0,0,,0,0,0
6,1995,7,1995-10-22,27-039,MIN,@,GNB,L 21-38,,10,17,58.82,94,0,1,49.6,5.53,2.88,1,3,3.00,0,0,0,0,,0,0,0
7,1995,11,1995-11-19,27-067,MIN,,NOR,W 43-24,,5,7,71.43,70,0,0,103.3,10.00,10.00,4,-7,-1.75,0,0,0,0,,0,0,0
8,1995,13,1995-12-03,27-081,MIN,,TAM,W 31-17,,0,0,,0,0,0,,,,1,-1,-1.00,0,0,0,0,,0,0,0
9,1995,14,1995-12-09,27-087,MIN,,CLE,W 27-11,,9,11,81.82,72,0,1,56.1,6.55,2.45,0,0,,0,0,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
10,1996,1,1996-09-01,27-354,MIN,,DET,W 17-13,,16,23,69.57,157,1,0,103.0,6.83,7.70,3,14,4.67,0,0,0,0,,0,0,0
11,1996,2,1996-09-08,27-361,MIN,@,ATL,W 23-17,*,15,26,57.69,275,2,1,103.8,10.58,10.38,0,0,,0,0,0,0,,0,0,0
12,1996,4,1996-09-22,28-009,MIN,,GNB,W 30-21,,0,1,0.00,0,0,0,39.6,0.00,0.00,1,-2,-2.00,0,0,0,0,,0,0,0
13,1996,8,1996-10-28,28-045,MIN,,CHI,L 13-15,,10,15,66.67,79,0,0,79.6,5.27,5.27,0,0,,0,0,0,0,,0,0,0
14,1996,9,1996-11-03,28-051,MIN,,KAN,L 6-21,*,22,42,52.38,218,1,2,55.5,5.19,3.52,3,12,4.00,0,0,0,0,,0,0,0
15,1996,10,1996-11-10,28-058,MIN,@,SEA,L 23-42,,8,12,66.67,123,1,0,128.1,10.25,11.92,2,3,1.50,1,0,0,0,,0,1,6
16,1996,11,1996-11-17,28-065,MIN,@,OAK,W 16-13,*,20,33,60.61,275,1,2,72.2,8.33,6.21,7,18,2.57,0,0,0,0,,0,0,0
17,1996,12,1996-11-24,28-072,MIN,,DEN,L 17-21,*,24,35,68.57,266,2,2,86.1,7.60,6.17,3,5,1.67,0,0,0,0,,0,0,0
18,1996,13,1996-12-01,28-079,MIN,,ARI,W 41-17,*,19,26,73.08,238,4,0,140.7,9.15,12.23,4,7,1.75,0,0,0,0,,0,0,0
19,1996,14,1996-12-08,28-086,MIN,@,DET,W 24-22,*,19,29,65.52,195,3,0,119.2,6.72,8.79,7,18,2.57,0,0,0,0,,0,0,0
20,1996,15,1996-12-15,28-093,MIN,,TAM,W 21-10,*,25,35,71.43,221,1,2,73.6,6.31,4.31,3,14,4.67,0,0,0,0,,0,0,0
21,1996,16,1996-12-22,28-100,MIN,@,GNB,L 10-38,*,17,34,50.00,211,1,1,67.2,6.21,5.47,1,1,1.00,0,0,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
22,1997,1,1997-08-31,28-352,MIN,@,BUF,W 34-13,*,17,30,56.67,218,2,1,87.9,7.27,7.10,3,-3,-1.00,0,0,0,0,,0,0,0
23,1997,2,1997-09-07,28-359,MIN,@,CHI,W 27-24,*,33,44,75.00,285,2,1,97.3,6.48,6.36,2,3,1.50,0,0,0,0,,0,0,0
24,1997,3,1997-09-14,29-001,MIN,,TAM,L 14-28,*,29,44,65.91,334,1,0,96.2,7.59,8.05,2,16,8.00,0,0,0,0,,0,0,0
25,1997,4,1997-09-21,29-008,MIN,@,GNB,L 32-38,*,19,34,55.88,217,3,2,80.1,6.38,5.50,3,33,11.00,0,0,0,0,,0,0,0
26,1997,5,1997-09-28,29-015,MIN,,PHI,W 28-19,*,17,32,53.13,221,3,1,93.4,6.91,7.38,6,13,2.17,0,0,0,0,,0,0,0
27,1997,6,1997-10-05,29-022,MIN,@,ARI,W 20-19,*,25,39,64.10,292,2,2,82.4,7.49,6.21,2,11,5.50,0,0,0,0,,0,0,0
28,1997,7,1997-10-12,29-029,MIN,,CAR,W 21-14,*,17,34,50.00,203,2,1,76.0,5.97,5.82,4,28,7.00,0,1,1,3,3.00,1,1,6
29,1997,8,1997-10-26,29-043,MIN,@,TAM,W 10-6,*,20,29,68.97,230,0,0,92.6,7.93,7.93,1,3,3.00,0,0,0,0,,0,0,0
30,1997,9,1997-11-02,29-050,MIN,,NWE,W 23-18,*,18,31,58.06,227,1,0,91.7,7.32,7.97,2,-2,-1.00,0,0,0,0,,0,0,0
31,1997,10,1997-11-09,29-057,MIN,,CHI,W 29-22,*,22,33,66.67,203,1,2,68.1,6.15,4.03,3,9,3.00,0,0,0,0,,0,0,0
32,1997,11,1997-11-16,29-064,MIN,@,DET,L 15-38,*,19,37,51.35,177,0,1,53.5,4.78,3.57,3,21,7.00,0,0,0,0,,0,0,0
33,1997,12,1997-11-23,29-071,MIN,@,NYJ,L 21-23,*,24,35,68.57,312,3,0,124.9,8.91,10.63,4,7,1.75,0,0,0,0,,0,0,0
34,1997,13,1997-12-01,29-079,MIN,,GNB,L 11-27,*,15,30,50.00,117,0,1,46.1,3.90,2.40,0,0,,0,0,0,0,,0,0,0
