
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1995,15,1995-12-17,22-274,JAX,@,DET,L 0-44,,3,7,42.86,24,0,1,12.5,3.43,-3.00,3,17,5.67,0,0,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
2,1997,1,1997-08-31,24-166,JAX,@,BAL,W 28-27,*,20,24,83.33,294,2,0,145.5,12.25,13.92,4,31,7.75,1,0,0,0,,0,1,6
3,1997,6,1997-10-12,24-208,JAX,,PHI,W 38-21,,1,1,100.00,10,0,0,108.3,10.00,10.00,0,0,,0,0,0,0,,0,0,0
4,1997,8,1997-10-26,24-222,JAX,@,PIT,L 17-23,,0,1,0.00,0,0,1,0.0,0.00,-45.00,2,9,4.50,0,,0,0,,0,0,0
5,1997,10,1997-11-09,24-236,JAX,,KAN,W 24-10,,0,1,0.00,0,0,1,0.0,0.00,-45.00,0,0,,0,0,0,0,,0,0,0
6,1997,16,1997-12-21,24-278,JAX,@,OAK,W 20-9,,1,1,100.00,40,0,0,118.7,40.00,40.00,4,-6,-1.50,0,0,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
7,1998,1,1998-09-06,25-172,BUF,@,SDG,L 14-16,*,8,14,57.14,75,0,1,42.3,5.36,2.14,2,18,9.00,0,0,0,0,,0,0,0
8,1998,2,1998-09-13,25-179,BUF,@,MIA,L 7-13,*,10,18,55.56,134,1,1,74.8,7.44,6.06,6,42,7.00,0,0,0,0,,0,0,0
9,1998,3,1998-09-20,25-186,BUF,,STL,L 33-34,*,18,28,64.29,231,3,1,110.9,8.25,8.79,4,35,8.75,0,0,0,0,,0,0,0
10,1998,4,1998-10-04,25-200,BUF,,SFO,W 26-21,*,19,27,70.37,254,1,0,112.3,9.41,10.15,6,20,3.33,0,0,0,0,,0,0,0
11,1998,11,1998-11-22,25-249,BUF,,IND,W 34-11,,0,2,0.00,0,0,0,39.6,0.00,0.00,1,-1,-1.00,0,0,0,0,,0,0,0
12,1998,16,1998-12-27,25-284,BUF,@,NOR,W 45-33,*,12,18,66.67,216,3,0,147.2,12.00,15.33,5,9,1.80,1,0,0,0,,0,1,6
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
13,1999,3,1999-09-26,26-192,BUF,,PHI,W 26-0,,1,2,50.00,11,0,0,66.7,5.50,5.50,1,25,25.00,0,0,0,0,,0,0,0
14,1999,16,2000-01-02,26-290,BUF,,IND,W 31-6,*,24,32,75.00,287,2,0,122.8,8.97,10.22,7,36,5.14,0,0,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
15,2000,1,2000-09-03,27-169,BUF,,TEN,W 16-13,*,9,18,50.00,107,1,0,87.0,5.94,7.06,6,60,10.00,0,0,0,0,,0,0,0
16,2000,2,2000-09-10,27-176,BUF,,GNB,W 27-18,*,18,26,69.23,259,3,1,123.7,9.96,10.54,7,31,4.43,0,0,0,0,,0,0,0
17,2000,3,2000-09-17,27-183,BUF,@,NYJ,L 14-27,*,21,36,58.33,291,2,1,91.3,8.08,7.94,3,18,6.00,0,0,0,0,,0,0,0
18,2000,4,2000-10-01,27-197,BUF,,IND,L 16-18,*,21,32,65.63,246,1,0,99.2,7.69,8.31,5,41,8.20,0,1,1,-6,-6.00,0,0,0
19,2000,5,2000-10-08,27-204,BUF,@,MIA,L 13-22,*,11,26,42.31,178,0,0,65.9,6.85,6.85,4,44,11.00,0,0,0,0,,0,0,0
20,2000,6,2000-10-15,27-211,BUF,,SDG,W 27-24,*,29,47,61.70,321,1,1,80.2,6.83,6.30,3,3,1.00,0,0,0,0,,0,0,0
21,2000,10,2000-11-12,27-239,BUF,,CHI,W 20-3,,2,3,66.67,29,0,0,97.9,9.67,9.67,1,19,19.00,0,0,0,0,,0,0,0
22,2000,11,2000-11-19,27-246,BUF,@,KAN,W 21-17,*,21,36,58.33,196,2,0,91.9,5.44,6.56,4,42,10.50,1,0,0,0,,0,1,6
23,2000,12,2000-11-26,27-253,BUF,@,TAM,L 17-31,*,24,39,61.54,262,2,0,98.5,6.72,7.74,4,19,4.75,0,0,0,0,,0,0,0
24,2000,13,2000-12-03,27-260,BUF,,MIA,L 6-33,*,6,18,33.33,44,0,2,2.8,2.44,-2.56,3,16,5.33,0,0,0,0,,0,0,0
25,2000,14,2000-12-11,27-268,BUF,@,IND,L 20-44,*,12,22,54.55,188,0,2,45.3,8.55,4.45,2,14,7.00,0,0,0,0,,0,0,0
26,2000,15,2000-12-17,27-274,BUF,,NWE,L 10-13,*,1,3,33.33,4,0,0,42.4,1.33,1.33,0,0,,0,0,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
27,2001,1,2001-09-09,28-175,BUF,,NOR,L 6-24,*,16,27,59.26,160,0,3,36.6,5.93,0.93,3,23,7.67,0,0,0,0,,0,0,0
28,2001,2,2001-09-23,28-189,BUF,@,IND,L 26-42,*,24,37,64.86,257,1,1,82.8,6.95,6.27,5,63,12.60,0,0,0,0,,0,0,0
29,2001,3,2001-09-30,28-196,BUF,,PIT,L 3-20,*,13,22,59.09,104,0,0,71.0,4.73,4.73,2,15,7.50,0,0,0,0,,0,0,0
