
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
1,1973,1,1973-09-16,22-009,BAL,@,CLE,L 14-24,*,6,22,27.27,56,1,1,35.8,2.55,1.41,3,24,8.00,0,0,0
2,1973,2,1973-09-23,22-016,BAL,,NYJ,L 10-34,*,12,23,52.17,176,1,4,52.4,7.65,0.70,1,2,2.00,0,0,0
3,1973,3,1973-09-30,22-023,BAL,,NOR,W 14-10,*,7,16,43.75,91,1,4,43.5,5.69,-4.31,5,-10,-2.00,0,0,0
4,1973,4,1973-10-07,22-030,BAL,@,NWE,L 16-24,*,8,19,42.11,109,1,0,78.6,5.74,6.79,3,11,3.67,0,0,0
5,1973,5,1973-10-14,22-037,BAL,@,BUF,L 13-31,*,7,15,46.67,71,0,2,21.1,4.73,-1.27,3,7,2.33,0,0,0
6,1973,7,1973-10-28,22-051,BAL,,OAK,L 21-34,,0,2,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,0,0
7,1973,9,1973-11-11,22-065,BAL,@,MIA,L 0-44,,3,11,27.27,36,0,1,2.8,3.27,-0.82,2,22,11.00,0,0,0
8,1973,10,1973-11-18,22-072,BAL,@,WAS,L 14-22,,0,0,,0,0,0,,,,1,2,2.00,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
9,1974,1,1974-09-15,23-008,BAL,@,PIT,L 0-30,,8,17,47.06,100,0,2,26.2,5.88,0.59,2,5,2.50,0,0,0
10,1974,2,1974-09-22,23-015,BAL,,GNB,L 13-20,,7,16,43.75,88,1,1,56.2,5.50,3.94,1,19,19.00,0,0,0
