
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1995,9,1995-11-05,27-170,IND,,BUF,L 10-16,,3,6,50.00,51,0,1,39.6,8.50,1.00,0,0,,0
2,1995,10,1995-11-12,27-177,IND,@,NOR,L 14-17,*,10,13,76.92,90,0,0,95.0,6.92,6.92,2,-1,-0.50,0
3,1995,13,1995-12-03,27-198,IND,@,CAR,L 10-13,,7,17,41.18,71,0,1,29.3,4.18,1.53,1,2,2.00,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
4,1996,1,1996-09-01,28-105,IND,,ARI,W 20-13,,5,8,62.50,53,0,0,81.8,6.63,6.63,0,0,,0
5,1996,4,1996-09-23,28-127,IND,,MIA,W 10-6,,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0
6,1996,7,1996-10-20,28-154,IND,,NWE,L 9-27,,10,12,83.33,119,0,0,108.0,9.92,9.92,0,0,,0
7,1996,10,1996-11-10,28-175,IND,@,MIA,L 13-37,,10,17,58.82,134,1,0,103.6,7.88,9.06,0,0,,0
8,1996,11,1996-11-17,28-182,IND,,NYJ,W 34-29,,2,4,50.00,33,0,0,78.1,8.25,8.25,0,0,,0
9,1996,12,1996-11-24,28-189,IND,@,NWE,L 13-27,,11,22,50.00,128,1,0,83.1,5.82,6.73,0,0,,0
10,1996,13,1996-12-01,28-196,IND,,BUF,W 13-10,*,22,40,55.00,228,0,0,71.7,5.70,5.70,1,1,1.00,0
11,1996,14,1996-12-05,28-200,IND,,PHI,W 37-10,*,14,23,60.87,144,0,0,78.9,6.26,6.26,1,6,6.00,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
12,1997,1,1997-08-31,29-104,IND,@,MIA,L 10-16,,8,13,61.54,100,0,0,85.4,7.69,7.69,0,0,,0
13,1997,4,1997-09-21,29-125,IND,@,BUF,L 35-37,,3,8,37.50,23,1,1,45.8,2.88,-0.25,0,0,,0
14,1997,5,1997-10-05,29-139,IND,,NYJ,L 12-16,,16,33,48.48,173,0,2,39.1,5.24,2.52,1,1,1.00,0
