
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
1,2011,4,2011-10-02,23-109,TEN,@,CLE,W 31-13,,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,0,0
2,2011,6,2011-10-23,23-130,TEN,,HOU,L 7-41,,1,1,100.00,12,0,0,116.7,12.00,12.00,0,0,,0,0,0
3,2011,10,2011-11-20,23-158,TEN,@,ATL,L 17-23,,9,19,47.37,140,2,0,107.3,7.37,9.47,1,11,11.00,0,0,0
4,2011,13,2011-12-11,23-179,TEN,,NOR,L 17-22,,13,29,44.83,282,1,0,91.5,9.72,10.41,6,36,6.00,1,1,6
5,2011,14,2011-12-18,23-186,TEN,@,IND,L 13-27,,11,16,68.75,108,1,0,108.3,6.75,8.00,1,9,9.00,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
6,2012,1,2012-09-09,24-086,TEN,,NWE,L 13-34,*,23,32,71.88,229,1,1,89.2,7.16,6.38,2,11,5.50,0,0,0
7,2012,2,2012-09-16,24-093,TEN,@,SDG,L 10-38,*,15,30,50.00,174,1,1,65.1,5.80,4.97,2,21,10.50,0,0,0
8,2012,3,2012-09-23,24-100,TEN,,DET,W 44-41,*,29,42,69.05,378,2,0,113.0,9.00,9.95,4,35,8.75,0,0,0
9,2012,4,2012-09-30,24-107,TEN,@,HOU,L 14-38,*,0,2,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,0,0
10,2012,10,2012-11-11,24-149,TEN,@,MIA,W 37-3,*,9,21,42.86,122,2,0,93.7,5.81,7.71,4,36,9.00,0,0,0
