
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1996,2,1996-09-08,26-213,STL,@,SFO,L 0-34,,3,4,75.00,32,0,0,97.9,8.00,8.00,0,0,,0
2,1996,6,1996-10-13,26-248,STL,@,CAR,L 13-45,,4,7,57.14,30,0,1,28.0,4.29,-2.14,1,2,2.00,0
3,1996,8,1996-10-27,26-262,STL,@,BAL,L 31-37,,0,0,,0,0,0,,,,1,0,0.00,0
4,1996,10,1996-11-10,26-276,STL,,ATL,W 59-16,,0,0,,0,0,0,,,,1,-1,-1.00,0
5,1996,14,1996-12-08,26-304,STL,@,CHI,L 9-35,,4,4,100.00,47,1,0,155.2,11.75,16.75,0,0,,0
6,1996,16,1996-12-21,26-317,STL,,NOR,W 14-13,,12,19,63.16,132,2,1,96.8,6.95,6.68,4,13,3.25,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
7,1998,8,1998-11-01,28-266,JAX,@,BAL,W 45-19,,2,2,100.00,21,0,0,110.4,10.50,10.50,1,5,5.00,0
8,1998,9,1998-11-08,28-273,JAX,,CIN,W 24-11,,4,9,44.44,35,0,0,55.3,3.89,3.89,0,0,,0
9,1998,13,1998-12-06,28-301,JAX,,DET,W 37-22,,15,23,65.22,228,2,0,126.7,9.91,11.65,3,-3,-1.00,0
10,1998,14,1998-12-13,28-308,JAX,,TEN,L 13-16,*,6,11,54.55,71,0,0,74.4,6.45,6.45,1,6,6.00,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
11,2000,1,2000-09-03,30-208,JAX,@,CLE,W 27-7,,0,0,,0,0,0,,,,3,-5,-1.67,0
12,2000,5,2000-10-01,30-236,JAX,,PIT,L 13-24,,8,13,61.54,88,1,0,107.2,6.77,8.31,0,0,,0
13,2000,6,2000-10-08,30-243,JAX,,BAL,L 10-15,,11,15,73.33,93,0,1,61.3,6.20,3.20,1,2,2.00,0
14,2000,13,2000-12-03,30-299,JAX,,CLE,W 48-0,,1,2,50.00,53,0,0,95.8,26.50,26.50,0,0,,0
