
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
1,1983,10,1983-11-06,24-195,SDG,@,PIT,L 3-26,,3,5,60.00,41,0,1,46.7,8.20,-0.80,1,0,0.00,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
2,1985,2,1985-09-15,26-143,BUF,@,NYJ,L 3-42,,5,13,38.46,72,0,0,57.2,5.54,5.54,1,22,22.00,0,0,0
3,1985,5,1985-10-06,26-164,BUF,@,IND,L 17-49,,2,6,33.33,28,0,0,49.3,4.67,4.67,1,1,1.00,0,0,0
4,1985,9,1985-11-03,26-192,BUF,,CIN,L 17-23,,5,10,50.00,63,1,1,63.7,6.30,3.80,2,16,8.00,0,0,0
5,1985,10,1985-11-10,26-199,BUF,,HOU,W 20-0,*,11,22,50.00,121,0,0,66.7,5.50,5.50,5,57,11.40,1,1,6
6,1985,11,1985-11-17,26-206,BUF,@,CLE,L 7-17,*,15,30,50.00,177,0,2,40.6,5.90,2.90,1,1,1.00,0,0,0
7,1985,12,1985-11-24,26-213,BUF,,MIA,L 14-23,*,15,28,53.57,196,2,0,99.7,7.00,8.43,3,42,14.00,0,0,0
8,1985,13,1985-12-01,26-220,BUF,@,SDG,L 7-40,*,18,36,50.00,271,0,4,35.5,7.53,2.53,4,22,5.50,0,0,0
9,1985,14,1985-12-08,26-227,BUF,,NYJ,L 7-27,*,22,39,56.41,357,0,2,65.9,9.15,6.85,3,26,8.67,0,0,0
10,1985,15,1985-12-15,26-234,BUF,@,PIT,L 24-30,*,10,20,50.00,162,1,2,54.6,8.10,4.60,4,31,7.75,0,0,0
11,1985,16,1985-12-22,26-241,BUF,@,MIA,L 0-28,*,10,24,41.67,188,0,3,29.9,7.83,2.21,3,13,4.33,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
12,1986,9,1986-11-02,27-191,SDG,,KAN,L 23-24,,,,,,,,,,,0,0,,0,,
13,1986,10,1986-11-09,27-198,SDG,@,DEN,W 9-3,,0,0,,0,0,0,,,,1,-1,-1.00,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
14,1987,3,1987-10-04,28-162,SEA,,MIA,W 24-20,*,20,42,47.62,326,2,3,60.2,7.76,5.50,2,17,8.50,0,0,0
15,1987,4,1987-10-11,28-169,SEA,,CIN,L 10-17,*,15,32,46.88,167,1,2,47.3,5.22,3.03,1,3,3.00,0,0,0
16,1987,5,1987-10-18,28-176,SEA,@,DET,W 37-14,,1,2,50.00,8,0,0,60.4,4.00,4.00,2,-5,-2.50,0,0,0
,,,16 Games,,,,,4-12-0,,152,309,49.19,2177,7,20,53.0,7.05,4.59,34,245,7.21,1,1,6
