
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Pnt,Yds,Y/P,Blck
1,1960,2,1960-10-02,27-291,GNB,,DET,W 28-9,*,7,15,46.67,109,1,2,53.9,7.27,2.60,4,5,1.25,0,0,0,0,0,,0
2,1960,3,1960-10-09,27-298,GNB,,BAL,W 35-21,*,6,14,42.86,86,1,0,87.2,6.14,7.57,1,35,35.00,1,1,6,0,0,,0
3,1960,4,1960-10-23,27-312,GNB,,SFO,W 41-14,*,11,24,45.83,183,1,0,85.9,7.63,8.46,1,2,2.00,0,0,0,0,0,,0
4,1960,5,1960-10-30,27-319,GNB,@,PIT,W 19-13,*,4,16,25.00,51,0,0,40.4,3.19,3.19,1,14,14.00,0,0,0,0,0,,0
5,1960,7,1960-11-13,27-333,GNB,,DAL,W 41-7,,3,9,33.33,65,0,2,20.4,7.22,-2.78,0,0,,0,0,0,0,0,,0
6,1960,8,1960-11-20,27-340,GNB,,RAM,L 31-33,,0,3,0.00,0,0,1,0.0,0.00,-15.00,0,0,,0,0,0,0,0,,0
7,1960,9,1960-11-24,27-344,GNB,@,DET,L 10-23,,2,10,20.00,23,0,0,39.6,2.30,2.30,1,11,11.00,0,0,0,0,0,,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Pnt,Yds,Y/P,Blck
8,1961,2,1961-09-24,28-282,BAL,,DET,L 15-16,,1,2,50.00,5,0,0,56.2,2.50,2.50,0,0,,0,0,0,0,0,,0
9,1961,3,1961-10-01,28-289,BAL,,MIN,W 34-33,,1,6,16.67,17,1,2,39.6,2.83,-8.83,0,0,,0,0,0,0,0,,0
