
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1998,10,1998-11-15,23-071,CHI,@,DET,L 3-26,,1,2,50.00,13,0,0,70.8,6.50,6.50,0,0,,0
2,1998,12,1998-11-29,23-085,CHI,,TAM,L 17-31,*,18,41,43.90,153,1,0,62.3,3.73,4.22,4,9,2.25,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
3,1999,16,2000-01-02,24-119,SDG,@,DEN,W 12-6,,5,7,71.43,78,0,0,108.0,11.14,11.14,0,0,,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
4,2000,1,2000-09-03,24-364,SDG,@,OAK,L 6-9,,2,3,66.67,17,0,0,81.2,5.67,5.67,0,0,,0
5,2000,2,2000-09-10,25-005,SDG,,NOR,L 27-28,,1,1,100.00,3,0,0,79.2,3.00,3.00,0,0,,0
6,2000,3,2000-09-17,25-012,SDG,@,KAN,L 10-42,*,11,22,50.00,107,0,0,64.0,4.86,4.86,4,20,5.00,0
7,2000,7,2000-10-15,25-040,SDG,@,BUF,L 24-27,,0,1,0.00,0,0,0,39.6,0.00,0.00,1,0,0.00,0
8,2000,9,2000-11-05,25-061,SDG,@,SEA,L 15-17,,4,5,80.00,47,0,0,105.8,9.40,9.40,0,0,,0
9,2000,10,2000-11-12,25-068,SDG,,MIA,L 7-17,*,9,21,42.86,67,0,2,11.5,3.19,-1.10,0,0,,0
,,,9 Games,,,,,1-8-0,,51,103,49.51,485,1,2,58.1,4.71,4.03,9,29,3.22,0
