
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,2003,15,2003-12-22,24-245,GNB,@,OAK,W 41-7,,0,0,,0,0,0,,,,2,-2,-1.00,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
2,2004,4,2004-10-03,25-165,GNB,,NYG,L 7-14,,1,1,100.00,24,0,0,118.7,24.00,24.00,0,0,,0
3,2004,5,2004-10-11,25-173,GNB,,TEN,L 27-48,,7,8,87.50,64,1,0,139.6,8.00,10.50,0,0,,0
4,2004,7,2004-10-24,25-186,GNB,,DAL,W 41-20,,0,0,,0,0,0,,,,2,-2,-1.00,0
5,2004,12,2004-12-05,25-228,GNB,@,PHI,L 17-47,,8,11,72.73,95,2,0,138.3,8.64,12.27,0,0,,0
6,2004,16,2005-01-02,25-256,GNB,@,CHI,W 31-14,,7,13,53.85,131,1,0,114.6,10.08,11.62,1,9,9.00,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
7,2005,9,2005-11-13,26-206,GNB,@,ATL,W 33-25,,0,0,,0,0,0,,,,0,0,,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
8,2006,2,2006-09-17,27-149,BUF,@,MIA,W 16-6,,0,0,,0,0,0,,,,0,0,,0
9,2006,9,2006-11-12,27-205,BUF,@,IND,L 16-17,,0,0,,0,0,0,,,,0,0,,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
10,2007,16,2007-12-30,28-253,GNB,,DET,W 34-13,,7,15,46.67,88,1,0,87.6,5.87,7.20,5,6,1.20,0
,,,10 Games,,,,,6-4-0,,30,48,62.50,402,5,0,123.8,8.38,10.46,10,11,1.10,0
