
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1996,13,1996-12-01,25-356,NOR,,STL,L 10-26,,7,15,46.67,101,0,0,69.0,6.73,6.73,3,6,2.00,0
2,1996,14,1996-12-08,25-363,NOR,,ATL,L 15-31,*,21,35,60.00,171,1,1,70.1,4.89,4.17,0,0,,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
3,1997,9,1997-10-26,26-319,NOR,,SFO,L 0-23,,4,9,44.44,36,0,0,55.8,4.00,4.00,1,2,2.00,0
4,1997,11,1997-11-16,26-340,NOR,,SEA,W 20-17,,4,4,100.00,46,0,0,114.6,11.50,11.50,2,3,1.50,0
5,1997,12,1997-11-23,26-347,NOR,@,ATL,L 3-20,*,10,19,52.63,101,0,3,28.5,5.32,-1.79,5,25,5.00,0
,,,5 Games,,,,,1-4-0,,46,82,56.10,455,1,4,55.7,5.55,3.60,11,36,3.27,0
