
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1978,7,1978-10-15,24-339,STL,,DAL,L 21-24,,0,1,0.00,0,0,1,0.0,0.00,-45.00,0,0,,0
2,1978,8,1978-10-22,24-346,STL,@,NYJ,L 10-23,*,10,27,37.04,164,0,2,27.4,6.07,2.74,4,2,0.50,0
3,1978,16,1978-12-17,25-037,STL,,ATL,W 42-21,,0,1,0.00,0,0,0,39.6,0.00,0.00,1,-3,-3.00,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
4,1979,5,1979-09-30,25-324,STL,@,RAM,L 0-21,,6,9,66.67,46,0,0,78.9,5.11,5.11,0,0,,0
5,1979,7,1979-10-14,25-338,STL,,PHI,L 20-24,,11,22,50.00,159,1,2,51.1,7.23,4.05,3,17,5.67,0
6,1979,9,1979-10-28,25-352,STL,,CLE,L 20-38,,6,10,60.00,77,1,0,117.5,7.70,9.70,0,0,,0
7,1979,14,1979-12-02,26-022,STL,,SFO,W 13-10,*,9,16,56.25,91,0,0,72.7,5.69,5.69,2,-3,-1.50,0
8,1979,15,1979-12-09,26-029,STL,,NYG,W 29-20,*,15,24,62.50,183,1,0,99.8,7.63,8.46,5,-3,-0.60,0
9,1979,16,1979-12-16,26-036,STL,@,CHI,L 6-42,*,5,28,17.86,65,0,2,9.8,2.32,-0.89,1,9,9.00,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
10,1980,4,1980-09-28,26-323,GNB,,DAL,L 7-28,,2,5,40.00,19,0,0,51.2,3.80,3.80,0,0,,0
,,,10 Games,,,,,3-7-0,,64,143,44.76,804,3,7,49.4,5.62,3.84,16,19,1.19,0
