
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
1,1972,7,1972-10-29,24-295,SFO,@,ATL,W 49-14,,0,0,,0,0,0,,,,1,0,0.00,0,0,0
2,1972,11,1972-11-23,24-320,SFO,@,DAL,W 31-10,,0,0,,0,0,0,,,,3,22,7.33,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
3,1973,6,1973-10-21,25-286,SFO,,NOR,W 40-0,,4,9,44.44,67,1,0,107.2,7.44,9.67,3,2,0.67,0,0,0
4,1973,9,1973-11-11,25-307,SFO,@,WAS,L 9-33,*,20,36,55.56,233,0,2,52.2,6.47,3.97,5,38,7.60,0,0,0
5,1973,10,1973-11-18,25-314,SFO,@,RAM,L 13-31,*,10,29,34.48,128,0,2,20.5,4.41,1.31,1,15,15.00,0,0,0
6,1973,11,1973-11-26,25-322,SFO,,GNB,W 20-6,*,5,16,31.25,44,0,0,40.6,2.75,2.75,3,13,4.33,0,0,0
7,1973,13,1973-12-09,25-335,SFO,@,NOR,L 10-16,,6,12,50.00,68,1,0,95.1,5.67,7.33,2,16,8.00,0,0,0
8,1973,14,1973-12-15,25-341,SFO,,PIT,L 14-37,,6,12,50.00,49,0,2,21.2,4.08,-3.42,1,1,1.00,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
