
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
1,1960,1,1960-09-25,25-227,WAS,@,BAL,L 0-20,,1,7,14.29,18,0,1,0.0,2.57,-3.86,1,-2,-2.00,0,0,0
2,1960,6,1960-11-06,25-269,WAS,@,STL,L 7-44,,4,8,50.00,53,0,0,71.4,6.63,6.63,1,12,12.00,0,0,0
3,1960,8,1960-11-20,25-283,WAS,,STL,L 14-26,,8,13,61.54,83,0,1,47.9,6.38,2.92,2,10,5.00,0,0,0
4,1960,11,1960-12-11,25-304,WAS,,NYG,L 3-17,,0,2,0.00,0,0,1,0.0,0.00,-22.50,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
5,1961,3,1961-09-23,26-224,BUF,,BOS,L 21-23,,12,22,54.55,129,1,0,87.1,5.86,6.77,5,14,2.80,1,1,6
6,1961,4,1961-09-30,26-231,BUF,,SDG,L 11-19,*,15,28,53.57,177,1,1,70.1,6.32,5.43,8,65,8.13,0,0,0
7,1961,5,1961-10-08,26-239,BUF,@,HOU,W 22-12,*,8,21,38.10,135,0,2,21.0,6.43,2.14,3,14,4.67,0,0,0
8,1961,6,1961-10-15,26-246,BUF,,DTX,W 27-24,*,5,7,71.43,56,0,0,94.9,8.00,8.00,5,19,3.80,1,1,6
9,1961,7,1961-10-22,26-253,BUF,@,BOS,L 21-52,,1,7,14.29,16,0,2,0.0,2.29,-10.57,0,0,,0,0,0
10,1961,8,1961-10-29,26-260,BUF,,HOU,L 16-28,,11,26,42.31,160,0,3,23.4,6.15,0.96,2,5,2.50,1,1,6
11,1961,10,1961-11-12,26-274,BUF,@,DTX,W 30-20,,0,1,0.00,0,0,0,39.6,0.00,0.00,1,-1,-1.00,0,0,0
12,1961,11,1961-11-19,26-281,BUF,@,DEN,W 23-10,,2,6,33.33,12,0,0,42.4,2.00,2.00,0,0,,0,0,0
13,1961,12,1961-11-23,26-285,BUF,@,NYT,L 14-21,,12,27,44.44,112,0,1,41.0,4.15,2.48,2,4,2.00,1,1,6
14,1961,13,1961-12-03,26-295,BUF,@,OAK,W 26-21,,15,27,55.56,146,0,1,55.5,5.41,3.74,4,22,5.50,0,0,0
15,1961,14,1961-12-10,26-302,BUF,@,SDG,L 10-28,,2,9,22.22,61,0,3,15.7,6.78,-8.22,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
16,1962,1,1962-09-09,27-210,OAK,,NYT,L 17-28,,2,5,40.00,23,0,0,54.6,4.60,4.60,1,9,9.00,0,0,0
,,,16 Games,,,,,5-11-0,,98,216,45.37,1181,2,16,34.9,5.47,2.32,35,171,4.89,4,4,24
