
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A
1,1983,2,1983-09-11,24-002,BAL,,DEN,L 10-17,,1,2,50.00,20,0,1,45.8,10.00,-12.50
2,1983,10,1983-11-06,24-058,BAL,@,NYJ,W 17-14,,0,0,,0,0,0,,,
3,1983,11,1983-11-13,24-065,BAL,,PIT,L 13-24,,0,0,,0,0,0,,,
4,1983,12,1983-11-20,24-072,BAL,@,MIA,L 0-37,,0,0,,0,0,0,,,
5,1983,13,1983-11-27,24-079,BAL,@,CLE,L 23-41,,0,0,,0,0,0,,,
6,1983,14,1983-12-04,24-086,BAL,,NYJ,L 6-10,,0,0,,0,0,0,,,
7,1983,15,1983-12-11,24-093,BAL,@,DEN,L 19-21,,0,0,,0,0,0,,,
8,1983,16,1983-12-18,24-100,BAL,,HOU,W 20-10,,0,0,,0,0,0,,,
,,,8 Games,,,,,2-6-0,,1,2,50.00,20,0,1,45.8,10.00,-12.50
