
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
1,1960,1,1960-09-09,32-276,DEN,@,BOS,W 13-10,*,10,15,66.67,180,1,1,102.1,12.00,10.33,0,0,,0,0,0
2,1960,2,1960-09-18,32-285,DEN,@,BUF,W 27-21,*,14,26,53.85,156,2,2,65.5,6.00,4.08,4,-2,-0.50,0,0,0
3,1960,3,1960-09-23,32-290,DEN,@,NYT,L 24-28,*,14,29,48.28,214,1,1,70.2,7.38,6.52,0,0,,0,0,0
4,1960,4,1960-10-02,32-299,DEN,,OAK,W 31-14,*,9,19,47.37,116,2,2,62.5,6.11,3.47,0,0,,0,0,0
5,1960,5,1960-10-16,32-313,DEN,,LAC,L 19-23,*,16,32,50.00,155,0,2,37.9,4.84,2.03,0,0,,0,0,0
6,1960,6,1960-10-23,32-320,DEN,,BOS,W 31-24,*,20,37,54.05,287,4,2,93.0,7.76,7.49,1,0,0.00,0,0,0
7,1960,7,1960-10-30,32-327,DEN,,DTX,L 14-17,*,14,31,45.16,179,1,2,47.6,5.77,3.52,0,0,,0,0,0
8,1960,8,1960-11-06,32-334,DEN,,HOU,L 25-45,*,30,52,57.69,375,3,2,83.4,7.21,6.63,2,1,0.50,0,0,0
9,1960,9,1960-11-13,32-341,DEN,@,DTX,L 7-34,*,18,33,54.55,136,0,4,25.1,4.12,-1.33,0,0,,0,0,0
10,1960,10,1960-11-20,32-348,DEN,@,HOU,L 10-20,*,26,52,50.00,268,1,2,55.6,5.15,3.81,2,1,0.50,0,0,0
11,1960,11,1960-11-27,32-355,DEN,,BUF,T 38-38,*,19,41,46.34,328,3,5,58.8,8.00,3.98,0,0,,0,0,0
12,1960,12,1960-12-04,32-362,DEN,,NYT,L 27-30,*,27,47,57.45,220,3,4,55.3,4.68,2.13,0,0,,0,0,0
13,1960,13,1960-12-10,33-002,DEN,@,LAC,L 33-41,*,17,35,48.57,291,2,2,72.4,8.31,6.89,0,0,,0,0,0
