
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
1,1963,2,1963-09-22,23-320,MIN,,CHI,L 7-28,,3,5,60.00,30,0,0,77.1,6.00,6.00,3,22,7.33,0,0,0
2,1963,3,1963-09-29,23-327,MIN,,SFO,W 45-14,,4,11,36.36,42,0,0,48.3,3.82,3.82,0,0,,0,0,0
3,1963,4,1963-10-06,23-334,MIN,,STL,L 14-56,,5,10,50.00,93,0,1,42.9,9.30,4.80,0,0,,0,0,0
4,1963,12,1963-12-01,24-025,MIN,@,CHI,T 17-17,,5,9,55.56,116,1,1,97.9,12.89,10.11,3,14,4.67,0,0,0
5,1963,13,1963-12-08,24-032,MIN,@,BAL,L 10-41,,2,7,28.57,20,0,0,39.6,2.86,2.86,0,0,,0,0,0
6,1963,14,1963-12-15,24-039,MIN,@,PHI,W 34-13,*,8,16,50.00,75,0,0,63.3,4.69,4.69,2,29,14.50,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
7,1964,6,1964-10-18,24-347,MIN,,PIT,W 30-10,,1,1,100.00,8,0,0,100.0,8.00,8.00,0,0,,0,0,0
8,1964,8,1964-11-01,24-361,MIN,,GNB,L 13-42,,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,0,0
9,1964,9,1964-11-08,25-002,MIN,,SFO,W 24-7,,4,10,40.00,57,0,0,59.2,5.70,5.70,0,0,,0,0,0
10,1964,11,1964-11-22,25-016,MIN,@,DET,T 23-23,,2,4,50.00,13,0,0,57.3,3.25,3.25,0,0,,0,0,0
11,1964,14,1964-12-13,25-037,MIN,@,CHI,W 41-14,,0,3,0.00,0,0,1,0.0,0.00,-15.00,1,10,10.00,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
12,1965,1,1965-09-19,25-317,MIN,@,BAL,L 16-35,,1,3,33.33,12,0,0,46.5,4.00,4.00,0,0,,0,0,0
13,1965,4,1965-10-09,25-337,MIN,,NYG,W 40-14,,0,0,,0,0,0,,,,1,3,3.00,0,0,0
14,1965,10,1965-11-21,26-015,MIN,,GNB,L 13-38,,4,5,80.00,45,0,0,104.2,9.00,9.00,1,20,20.00,0,0,0
15,1965,11,1965-11-28,26-022,MIN,,SFO,L 24-45,,13,32,40.63,195,2,0,82.2,6.09,7.34,2,-10,-5.00,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
16,1966,5,1966-10-16,26-344,MIN,,RAM,W 35-7,,1,1,100.00,9,0,0,104.2,9.00,9.00,0,0,,0,0,0
17,1966,7,1966-10-30,26-358,MIN,,SFO,W 28-3,,3,4,75.00,38,0,0,104.2,9.50,9.50,1,-5,-5.00,0,0,0
18,1966,10,1966-11-20,27-014,MIN,@,RAM,L 6-21,*,6,15,40.00,100,0,1,35.4,6.67,3.67,3,24,8.00,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
19,1967,1,1967-09-17,27-315,MIN,,SFO,L 21-27,*,18,36,50.00,187,1,2,51.5,5.19,3.25,4,-6,-1.50,1,1,6
20,1967,2,1967-09-22,27-320,MIN,@,RAM,L 3-39,*,3,13,23.08,23,0,2,0.0,1.77,-5.15,0,0,,0,0,0
21,1967,3,1967-10-01,27-329,MIN,,CHI,L 7-17,*,4,11,36.36,33,0,0,44.9,3.00,3.00,1,-8,-8.00,0,0,0
22,1967,7,1967-10-29,27-357,MIN,@,ATL,L 20-21,,12,25,48.00,163,2,1,79.2,6.52,6.32,1,16,16.00,0,0,0
23,1967,8,1967-11-05,27-364,MIN,,NYG,W 27-24,,1,3,33.33,4,0,1,2.8,1.33,-13.67,0,0,,0,0,0
24,1967,10,1967-11-19,28-013,MIN,@,CLE,L 10-14,,4,12,33.33,70,0,1,19.4,5.83,2.08,1,1,1.00,0,0,0
25,1967,14,1967-12-17,28-041,MIN,@,DET,L 3-14,,3,15,20.00,42,0,0,39.6,2.80,2.80,2,6,3.00,0,0,0
,,,25 Games,,,,,9-14-2,,107,252,42.46,1375,6,11,50.0,5.46,3.97,26,116,4.46,1,1,6
