
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1960,1,1960-09-23,29-355,RAM,,STL,L 21-43,*,14,24,58.33,164,2,3,67.4,6.83,2.88,2,1,0.50,0,,0,0,,0,0,0
2,1960,2,1960-10-02,29-364,RAM,@,SFO,L 9-13,*,9,12,75.00,94,0,0,97.2,7.83,7.83,2,2,1.00,0,,0,0,,0,0,0
3,1960,3,1960-10-09,30-005,RAM,@,CHI,L 27-34,*,11,23,47.83,86,1,1,53.9,3.74,2.65,3,10,3.33,0,,0,0,,0,0,0
4,1960,4,1960-10-16,30-012,RAM,@,BAL,L 17-31,,5,8,62.50,90,0,1,61.5,11.25,5.63,3,13,4.33,1,,0,0,,0,1,6
5,1960,6,1960-10-30,30-026,RAM,,DET,W 48-35,,4,6,66.67,54,1,0,134.7,9.00,12.33,1,7,7.00,0,,0,0,,0,0,0
6,1960,7,1960-11-06,30-033,RAM,@,DAL,W 38-13,,3,5,60.00,36,1,0,121.7,7.20,11.20,0,0,,0,,0,0,,0,0,0
7,1960,8,1960-11-13,30-040,RAM,@,DET,L 10-12,,12,19,63.16,152,1,0,105.6,8.00,9.05,2,17,8.50,0,,0,10,,0,0,0
8,1960,9,1960-11-20,30-047,RAM,@,GNB,W 33-31,*,14,26,53.85,162,3,1,95.4,6.23,6.81,4,11,2.75,0,,0,0,,0,0,0
9,1960,10,1960-12-04,30-061,RAM,,SFO,L 7-23,*,6,16,37.50,58,0,2,8.9,3.63,-2.00,2,20,10.00,0,,0,0,,0,0,0
10,1960,11,1960-12-11,30-068,RAM,,BAL,W 10-3,,8,17,47.06,120,0,1,46.2,7.06,4.41,2,67,33.50,1,,0,0,,0,1,6
11,1960,12,1960-12-17,30-074,RAM,,GNB,L 21-35,*,20,26,76.92,278,3,2,117.1,10.69,9.54,5,23,4.60,0,,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
12,1961,1,1961-09-17,30-348,CHI,@,MIN,L 13-37,,6,10,60.00,109,1,2,91.2,10.90,3.90,2,30,15.00,0,,0,0,,0,0,0
13,1961,2,1961-09-23,30-354,CHI,@,RAM,W 21-17,,6,7,85.71,98,1,0,158.3,14.00,16.86,6,40,6.67,1,,0,0,,0,1,6
14,1961,3,1961-10-01,30-362,CHI,@,GNB,L 0-24,,3,7,42.86,26,0,1,13.7,3.71,-2.71,2,4,2.00,0,,0,0,,0,0,0
15,1961,4,1961-10-08,31-004,CHI,@,DET,W 31-17,*,13,25,52.00,330,2,1,107.5,13.20,13.00,6,39,6.50,1,,0,0,,0,1,6
16,1961,5,1961-10-15,31-011,CHI,,BAL,W 24-10,*,4,6,66.67,31,0,0,79.2,5.17,5.17,3,19,6.33,0,,0,0,,0,0,0
17,1961,6,1961-10-22,31-018,CHI,,SFO,W 31-0,*,13,22,59.09,171,4,1,104.4,7.77,9.36,5,1,0.20,0,,0,0,,0,0,0
18,1961,7,1961-10-29,31-025,CHI,@,BAL,W 21-20,*,11,28,39.29,211,2,2,60.3,7.54,5.75,5,40,8.00,0,,0,0,,0,0,0
19,1961,8,1961-11-05,31-032,CHI,@,PHI,L 14-16,*,2,5,40.00,85,1,0,127.1,17.00,21.00,1,17,17.00,0,,0,0,,0,0,0
20,1961,9,1961-11-12,31-039,CHI,,GNB,L 28-31,*,17,30,56.67,236,3,1,101.5,7.87,8.37,5,18,3.60,0,,0,0,,0,0,0
21,1961,10,1961-11-19,31-046,CHI,@,SFO,L 31-41,*,18,34,52.94,323,3,1,102.9,9.50,9.94,3,16,5.33,0,,0,0,,0,0,0
22,1961,11,1961-11-26,31-053,CHI,,RAM,W 28-24,*,15,19,78.95,207,1,1,107.7,10.89,9.58,4,20,5.00,0,,0,0,,0,0,0
23,1961,12,1961-12-03,31-060,CHI,,DET,L 15-16,*,8,23,34.78,76,0,2,8.6,3.30,-0.61,3,11,3.67,0,,0,0,,0,0,0
24,1961,14,1961-12-17,31-074,CHI,,MIN,W 52-35,,23,34,67.65,355,4,1,128.9,10.44,11.47,0,0,,0,,0,0,,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
25,1962,1,1962-09-16,31-347,CHI,@,SFO,W 30-14,*,5,13,38.46,13,0,0,46.6,1.00,1.00,1,1,1.00,0,,0,0,,0,0,0
26,1962,2,1962-09-23,31-354,CHI,@,RAM,W 27-23,*,15,28,53.57,239,1,0,94.2,8.54,9.25,4,14,3.50,1,,0,0,,0,1,6
27,1962,3,1962-09-30,31-361,CHI,@,GNB,L 0-49,*,7,18,38.89,132,0,3,25.5,7.33,-0.17,2,-1,-0.50,0,,0,0,,0,0,0
28,1962,4,1962-10-07,32-003,CHI,@,MIN,W 13-0,*,13,29,44.83,156,0,0,61.9,5.38,5.38,1,11,11.00,0,,0,0,,0,0,0
29,1962,5,1962-10-14,32-010,CHI,,SFO,L 27-34,*,18,34,52.94,356,2,2,84.9,10.47,9.00,2,14,7.00,0,,0,0,,0,0,0
30,1962,6,1962-10-21,32-017,CHI,,BAL,W 35-15,*,13,26,50.00,318,3,2,101.1,12.23,11.08,2,6,3.00,0,,0,0,,0,0,0
31,1962,7,1962-10-28,32-024,CHI,@,DET,L 3-11,*,10,20,50.00,54,0,0,56.2,2.70,2.70,1,1,1.00,0,,0,0,,0,0,0
32,1962,8,1962-11-04,32-031,CHI,,GNB,L 7-38,*,13,24,54.17,147,1,2,51.9,6.13,3.21,8,21,2.63,0,,0,0,,0,0,0
33,1962,9,1962-11-11,32-038,CHI,,MIN,W 31-30,*,26,42,61.90,274,3,5,65.1,6.52,2.60,3,13,4.33,1,,0,0,,0,1,6
34,1962,10,1962-11-18,32-045,CHI,@,DAL,W 34-33,*,28,46,60.87,466,2,2,91.4,10.13,9.04,3,0,0.00,1,,0,0,,0,1,6
35,1962,11,1962-11-25,32-052,CHI,@,BAL,W 57-0,*,23,32,71.88,328,3,0,135.9,10.25,12.13,1,5,5.00,1,,0,0,,0,1,6
36,1962,12,1962-12-02,32-059,CHI,,NYG,L 24-26,*,21,39,53.85,294,2,4,55.9,7.54,3.95,5,31,6.20,0,,0,0,,0,0,0
37,1962,13,1962-12-09,32-066,CHI,,RAM,W 30-14,*,16,28,57.14,199,1,3,51.6,7.11,3.00,2,6,3.00,1,,0,0,,0,1,6
