
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,1967,2,1967-09-24,23-070,BAL,@,PHI,W 38-6,,1,1,100.00,6,0,0,91.7,6.00,6.00,0,0,,0
2,1967,3,1967-10-01,23-077,BAL,,SFO,W 41-7,,2,3,66.67,32,1,0,141.7,10.67,17.33,1,8,8.00,0
3,1967,9,1967-11-12,23-119,BAL,@,ATL,W 49-7,,5,11,45.45,56,0,1,23.3,5.09,1.00,3,11,3.67,0
4,1967,10,1967-11-19,23-126,BAL,,DET,W 41-7,,1,1,100.00,21,1,0,158.3,21.00,41.00,1,4,4.00,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
5,1968,3,1968-09-29,24-075,BAL,@,PIT,W 41-7,,0,2,0.00,0,0,0,39.6,0.00,0.00,0,0,,0
6,1968,4,1968-10-06,24-082,BAL,,CHI,W 28-7,,1,3,33.33,9,0,1,2.8,3.00,-12.00,0,0,,0
7,1968,8,1968-11-03,24-110,BAL,@,NYG,W 26-0,,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0
8,1968,10,1968-11-17,24-124,BAL,,STL,W 27-0,,2,3,66.67,37,0,0,109.0,12.33,12.33,0,0,,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
9,1971,14,1971-12-19,27-156,PHI,@,NYG,W 41-28,,1,1,100.00,4,0,0,83.3,4.00,4.00,0,0,,0
,,,9 Games,,,,,9-0-0,,13,26,50.00,165,2,2,63.8,6.35,4.42,5,23,4.60,0
