
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
1,2000,13,2000-12-03,24-293,DAL,@,TAM,L 7-27,,1,3,33.33,10,0,0,43.7,3.33,3.33,0,0,,0
2,2000,14,2000-12-10,24-300,DAL,,WAS,W 32-13,,3,5,60.00,73,0,0,104.2,14.60,14.60,5,1,0.20,0
3,2000,15,2000-12-17,24-307,DAL,,NYG,L 13-17,*,13,25,52.00,119,0,1,48.6,4.76,2.96,4,26,6.50,0
4,2000,16,2000-12-25,24-315,DAL,@,TEN,L 0-31,*,5,20,25.00,35,0,2,0.0,1.75,-2.75,3,9,3.00,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
5,2001,2,2001-09-23,25-221,DAL,,SDG,L 21-32,*,12,25,48.00,193,3,3,74.2,7.72,4.72,4,5,1.25,0
6,2001,3,2001-09-30,25-228,DAL,@,PHI,L 18-40,*,7,23,30.43,33,0,1,21.8,1.43,-0.52,1,2,2.00,0
7,2001,4,2001-10-07,25-235,DAL,@,OAK,L 21-28,,14,22,63.64,126,2,0,109.3,5.73,7.55,4,18,4.50,0
8,2001,5,2001-10-15,25-243,DAL,,WAS,W 9-7,*,15,28,53.57,177,0,1,58.2,6.32,4.71,8,32,4.00,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD
9,2003,10,2003-11-16,27-275,BAL,@,MIA,L 6-9,*,14,25,56.00,112,0,2,34.1,4.48,0.88,4,4,1.00,0
10,2003,11,2003-11-23,27-282,BAL,,SEA,W 44-41,*,20,37,54.05,319,4,0,119.1,8.62,10.78,5,27,5.40,0
11,2003,12,2003-11-30,27-289,BAL,,SFO,W 44-6,*,14,25,56.00,177,2,1,88.2,7.08,6.88,3,26,8.67,0
12,2003,13,2003-12-07,27-296,BAL,,CIN,W 31-13,*,8,19,42.11,145,1,2,46.9,7.63,3.95,7,3,0.43,0
13,2003,14,2003-12-14,27-303,BAL,@,OAK,L 12-20,*,12,27,44.44,193,1,1,65.8,7.15,6.22,3,-2,-0.67,0
