
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
1,1997,1,1997-08-31,23-096,NOR,@,STL,L 24-38,,4,12,33.33,69,1,1,46.9,5.75,3.67,0,0,,0,0,0
2,1997,3,1997-09-14,23-110,NOR,@,SFO,L 7-33,,7,15,46.67,119,1,3,56.7,7.93,0.27,1,5,5.00,0,0,0
3,1997,7,1997-10-12,23-138,NOR,,ATL,L 17-23,,9,13,69.23,120,1,1,91.8,9.23,7.31,2,6,3.00,0,0,0
4,1997,8,1997-10-19,23-145,NOR,,CAR,L 0-13,*,13,32,40.63,132,0,2,27.1,4.13,1.31,2,15,7.50,0,0,0
5,1997,9,1997-10-26,23-152,NOR,,SFO,L 0-23,*,7,15,46.67,60,0,1,29.9,4.00,1.00,0,0,,0,0,0
6,1997,12,1997-11-23,23-180,NOR,@,ATL,L 3-20,,0,0,,0,0,0,,,,0,0,,0,,
7,1997,16,1997-12-21,23-208,NOR,@,KAN,L 13-25,,2,4,50.00,18,1,0,102.1,4.50,9.50,1,0,0.00,0,0,0
,,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
8,1998,1,1998-09-06,24-102,NOR,@,STL,W 24-17,,3,6,50.00,24,0,1,20.8,4.00,-3.50,0,0,,0,0,0
9,1998,2,1998-09-13,24-109,NOR,,CAR,W 19-14,*,13,18,72.22,145,1,0,114.4,8.06,9.17,6,40,6.67,0,0,0
10,1998,3,1998-09-27,24-123,NOR,@,IND,W 19-13,*,12,27,44.44,153,2,1,72.0,5.67,5.48,0,0,,0,0,0
11,1998,4,1998-10-04,24-130,NOR,,NWE,L 27-30,*,25,47,53.19,278,2,2,67.5,5.91,4.85,3,13,4.33,0,0,0
