
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
1954,23,CHI,P/qb,12,12,5,4-1-0,67,130,51.5,1087,8,6.2,17,13.1,71,8.4,3.7,16.2,90.6,60.8,,,,,,0,0,
1957,26,CHI,qb,12,12,4,2-2-0,37,80,46.3,527,1,1.3,9,11.3,44,6.6,1.8,14.2,43.9,32.7,,,,,,0,0,
1958,27,CHI,qb,12,12,2,1-1-0,41,90,45.6,571,7,7.8,6,6.7,67,6.3,4.9,13.9,47.6,64.6,,,,,,0,0,
1959,28,CHI,qb,12,12,4,1-1-0,31,62,50.0,403,2,3.2,5,8.1,36,6.5,3.5,13.0,33.6,48.0,,,,,,0,0,
1960,29,CHI,qb,12,11,1,1-0-0,87,175,49.7,1051,6,3.4,21,12.0,59,6.0,1.3,12.1,95.5,40.4,,,,,,2,1,-2
1961,30,RAM,QB,12,13,11,2-9-0,124,230,53.9,1547,8,3.5,13,5.7,84,6.7,4.9,12.5,119.0,63.1,,,,,,1,1,6
1962,31,RAM,QB,12,13,9,1-8-0,110,219,50.2,1541,9,4.1,16,7.3,80,7.0,4.6,14.0,118.5,56.5,,,,,,,,4
1963,32,2TM,,,6,4,0-4-0,49,93,52.7,567,4,4.3,9,9.7,64,6.1,2.6,11.6,94.5,46.1,,,,,,,,1
,,GNB,,12,2,,,4,11,36.4,96,1,9.1,3,27.3,64,8.7,-1.7,24.0,48.0,59.5,,,,,,,,0
,,RAM,qb,12,4,4,0-4-0,45,82,54.9,471,3,3.7,6,7.3,42,5.7,3.2,10.5,117.8,53.5,,,,,,,,1
1964,33,GNB,qb,12,5,,,19,36,52.8,277,1,2.8,1,2.8,33,7.7,7.0,14.6,55.4,75.8,,,,,,,,1
1965,34,GNB,qb,12,6,,,21,48,43.8,348,3,6.3,4,8.3,80,7.3,4.8,16.6,58.0,54.9,,,,,,2,3,1
1966,35,GNB,qb,12,8,1,1-0-0,36,64,56.3,569,4,6.3,2,3.1,74,8.9,8.7,15.8,71.1,93.8,,,,,,1,1,2
1967,36,GNB,qb,12,6,2,1-1-0,53,94,56.4,724,5,5.3,9,9.6,86,7.7,4.5,13.7,120.7,59.3,,,,,,0,1,3
1968,37,GNB,qb,12,10,5,2-2-1,68,126,54.0,835,3,2.4,7,5.6,72,6.6,4.6,12.3,83.5,59.5,,,,,,,,4
1971,40,GNB,qb,12,6,1,0-1-0,19,37,51.4,298,4,10.8,3,8.1,50,8.1,6.6,15.7,49.7,80.7,1,12,7.53,6.08,2.6,,,2
Career,,,,,132,49,16-30-1,762,1484,51.3,10345,65,4.4,122,8.2,86,7.0,4.1,13.6,78.4,54.3,1,12,6.96,4.14,0.1,6,7,22
7 yrs,,GNB,,,43,9,4-4-1,220,416,52.9,3147,21,5.0,29,7.0,86,7.6,5.4,14.3,73.2,65.5,1,12,7.53,6.08,2.6,3,5,13
5 yrs,,CHI,,,59,16,9-5-0,263,537,49.0,3639,24,4.5,58,10.8,71,6.8,2.8,13.8,61.7,46.4,,,,,,2,1,-2
3 yrs,,RAM,,,30,24,3-21-0,279,531,52.5,3559,20,3.8,35,6.6,84,6.7,4.5,12.8,118.6,58.9,,,,,,1,1,11
