
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1949,23,WAS,qb,,12,4,31,167,0,25,5.4,13.9,2.6,,5,37,7.4,0,13,0.4,3.1,204,0,2
1950*,24,WAS,qb,52,10,5,22,145,1,20,6.6,14.5,2.2,,,,,,,,,145,1,6
1951,25,WAS,qb,52,10,3,19,141,0,37,7.4,14.1,1.9,,,,,,,,,141,0,4
1952*,26,WAS,LH,12,12,,100,365,0,30,3.7,30.4,8.3,,15,143,9.5,1,37,1.3,11.9,508,1,4
1954,28,WAS,,12,12,,6,19,0,11,3.2,1.6,0.5,,,,,,,,,19,0,2
1955,29,DET,qb,12,8,2,15,67,0,19,4.5,8.4,1.9,,,,,,,,,67,0,2
1956,30,DET,,12,11,,8,19,0,6,2.4,1.7,0.7,,,,,,,,,19,0,1
Career,,,,,76,14,201,923,1,37,4.6,12.1,2.6,,20,180,9.0,1,37,0.3,2.4,1103,2,21
6 yrs,,WAS,,,57,12,178,837,1,37,4.7,14.7,3.1,,20,180,9.0,1,37,0.4,3.2,1017,2,18
2 yrs,,DET,,,19,2,23,86,0,19,3.7,4.5,1.2,,,,,,,,,86,0,3
