
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1955,22,WAS,qb,3,9,3,18,51,1,17,2.8,5.7,2.0,,,,,,,,,51,1,0
1958,25,WAS,qb,3,8,2,17,74,0,17,4.4,9.3,2.1,,,,,,,,,74,0,2
1959,26,WAS,qb,3,9,5,26,97,0,19,3.7,10.8,2.9,,,,,,,,,97,0,2
1960,27,WAS,QB,3,11,11,79,247,0,16,3.1,22.5,7.2,,,,,,,,,247,0,6
1961,28,STL,qb,3,9,5,22,101,1,23,4.6,11.2,2.4,,,,,,,,,101,1,7
1962,29,NYG,qb,9,14,,11,40,0,18,3.6,2.9,0.8,,,,,,,,,40,0,1
1963,30,2TM,,,6,1,4,23,0,20,5.8,3.8,0.7,,,,,,,,,23,0,2
,,NYG,,9,2,1,3,3,0,2,1.0,1.5,1.5,,,,,,,,,3,0,1
,,PHI,,17,4,,1,20,0,20,20.0,5.0,0.3,,,,,,,,,20,0,1
Career,,,,,66,27,177,633,2,23,3.6,9.6,2.7,,,,,,,,,633,2,20
4 yrs,,WAS,,,37,21,140,469,1,19,3.4,12.7,3.8,,,,,,,,,469,1,10
2 yrs,,NYG,,,16,1,14,43,0,18,3.1,2.7,0.9,,,,,,,,,43,0,2
1 yr,,PHI,,,4,0,1,20,0,20,20.0,5.0,0.3,,,,,,,,,20,0,1
1 yr,,STL,,,9,5,22,101,1,23,4.6,11.2,2.4,,,,,,,,,101,1,7
