
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1957,22,GNB,FB,5,12,,,1,6,16.7,-1,0,0.0,0,0.0,-1,-0.2,-0.2,-1.0,-0.1,39.6,,,,,,0,0
1958,23,GNB,FB/K,5,12,,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,,,,,,0,0
1959*,24,GNB,K/LH,5,12,,,5,8,62.5,95,2,25.0,0,0.0,30,11.9,16.9,19.0,7.9,143.2,,,,,,0,0
1960*+,25,GNB,HB/K,5,12,,,6,16,37.5,118,2,12.5,0,0.0,40,7.4,9.9,19.7,9.8,103.6,,,,,,,
1961+,26,GNB,HB/K,5,12,,,3,5,60.0,42,1,20.0,0,0.0,20,8.4,12.4,14.0,3.5,126.7,,,,,,,
1962,27,GNB,HB,5,9,,,4,6,66.7,80,0,0.0,2,33.3,41,13.3,-1.7,20.0,8.9,70.1,,,,,,,
1964,29,GNB,HB/K,5,14,,,3,10,30.0,25,0,0.0,1,10.0,10,2.5,-2.0,8.3,1.8,0.0,,,,,,,
1965,30,GNB,HB,5,12,,,1,2,50.0,19,0,0.0,1,50.0,19,9.5,-13.0,19.0,1.6,43.7,,,,,,,
1966,31,GNB,HB,5,9,,,1,1,100.0,5,0,0.0,0,0.0,5,5.0,5.0,5.0,0.6,87.5,,,,,,,
Career,,,,,104,,,24,55,43.6,383,5,9.1,4,7.3,41,7.0,5.5,16.0,3.7,67.5,,,,,,0,0
