
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb,AV
1957,22,GNB,FB,5,12,,60,319,3,72,5.3,26.6,5.0,,6,34,5.7,0,16,0.5,2.8,353,3,2,
1958,23,GNB,FB/K,5,12,,69,310,2,55,4.5,25.8,5.8,,15,137,9.1,0,39,1.3,11.4,447,2,1,
1959*,24,GNB,K/LH,5,12,,152,681,7,63,4.5,56.8,12.7,,15,113,7.5,0,19,1.3,9.4,794,7,7,
1960*+,25,GNB,HB/K,5,12,,160,671,13,37,4.2,55.9,13.3,,28,257,9.2,2,33,2.3,21.4,928,15,3,16
1961+,26,GNB,HB/K,5,12,,127,597,8,54,4.7,49.8,10.6,,15,145,9.7,2,34,1.3,12.1,742,10,1,14
1962,27,GNB,HB,5,9,,57,219,5,37,3.8,24.3,6.3,,9,168,18.7,2,83,1.0,18.7,387,7,1,6
1964,29,GNB,HB/K,5,14,,103,415,5,40,4.0,29.6,7.4,,9,98,10.9,0,40,0.6,7.0,513,5,4,3
1965,30,GNB,HB,5,12,,89,299,5,17,3.4,24.9,7.4,,19,336,17.7,3,65,1.6,28.0,635,8,2,7
1966,31,GNB,HB,5,9,,76,200,2,9,2.6,22.2,8.4,,14,192,13.7,3,44,1.6,21.3,392,5,1,4
Career,,,,,104,,893,3711,50,72,4.2,35.7,8.6,,130,1480,11.4,12,83,1.3,14.2,5191,62,22,50
