
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
1942,23,RAM,tb,,8,3,,43,93,46.2,640,6,6.5,6,6.5,67,6.9,5.3,14.9,80.0,63.9,,,,,,0,0,
1945,26,RAM,qb,,2,1,,3,5,60.0,12,0,0.0,0,0.0,11,2.4,2.4,4.0,6.0,64.6,,,,,,0,0,
1946,27,WAS,qb,,9,2,,5,12,41.7,98,0,0.0,2,16.7,35,8.2,0.7,19.6,10.9,31.2,,,,,,0,0,
1947,28,GNB,P/QB,,12,8,,108,242,44.6,1615,16,6.6,17,7.0,69,6.7,4.8,15.0,134.6,59.8,,,,,,0,0,
1948,29,GNB,P/QB,,12,8,,82,184,44.6,848,5,2.7,21,11.4,64,4.6,0.0,10.3,70.7,27.9,,,,,,0,0,
1949,30,GNB,qb,,12,1,,3,16,18.8,55,0,0.0,3,18.8,39,3.4,-5.0,18.3,4.6,1.8,,,,,,0,0,
Career,,,,,55,23,,244,552,44.2,3268,27,4.9,49,8.9,69,5.9,2.9,13.4,59.4,42.9,,,,,,0,0,
3 yrs,,GNB,,,36,17,,193,442,43.7,2518,21,4.8,41,9.3,69,5.7,2.5,13.0,69.9,39.4,,,,,,0,0,
2 yrs,,RAM,,,10,4,,46,98,46.9,652,6,6.1,6,6.1,67,6.7,5.1,14.2,65.2,63.8,,,,,,0,0,
1 yr,,WAS,,,9,2,,5,12,41.7,98,0,0.0,2,16.7,35,8.2,0.7,19.6,10.9,31.2,,,,,,0,0,
