
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1957,22,PIT,,7,4,,3,-1,0,2,-0.3,-0.3,0.8,,,,,,,,,-1,0,1
1960+,25,LAC,QB,15,14,12,54,238,8,8,4.4,17.0,3.9,,,,,,,,,238,8,9
1961*,26,SDG,QB,15,14,14,43,105,6,23,2.4,7.5,3.1,,,,,,,,,105,6,10
1962*,27,2TM,,,6,5,20,84,2,28,4.2,14.0,3.3,,,,,,,,,84,2,3
,,SDG,qb,15,2,2,8,28,1,19,3.5,14.0,4.0,,,,,,,,,28,1,2
,,BUF,qb,15,4,3,12,56,1,28,4.7,14.0,3.0,,,,,,,,,56,1,1
1963*,28,BUF,QB,15,14,12,50,239,8,26,4.8,17.1,3.6,,,,,,,,,239,8,10
1964*,29,BUF,QB,15,14,13,37,124,5,14,3.4,8.9,2.6,,,,,,,,,124,5,7
1965*+,30,BUF,QB,15,14,13,36,49,4,12,1.4,3.5,2.6,,1,-9,-9.0,0,-9,0.1,-0.6,40,4,9
1966*,31,BUF,QB,15,14,14,40,130,5,26,3.3,9.3,2.9,,,,,,,,,130,5,7
1967,32,BUF,QB,15,14,11,36,58,2,14,1.6,4.1,2.6,,,,,,,,,58,2,14
1969*,34,BUF,QB,15,14,11,37,124,0,13,3.4,8.9,2.6,,,,,,,,,124,0,8
Career,,,,,122,105,356,1150,40,28,3.2,9.4,2.9,,1,-9,-9.0,0,0,0.0,-0.1,1141,40,78
7 yrs,,BUF,,,88,77,248,780,25,28,3.1,8.9,2.8,,1,-9,-9.0,0,0,0.0,-0.1,771,25,56
3 yrs,,LAC-SDG,,,30,28,105,371,15,23,3.5,12.4,3.5,,,,,,,,,371,15,21
1 yr,,PIT,,,4,0,3,-1,0,2,-0.3,-0.3,0.8,,,,,,,,,-1,0,1
