
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1960,22,DAL,qb,17,6,1,3,4,0,8,1.3,0.7,0.5,,,,,,,,,4,0,2
1961,23,DAL,qb,17,8,4,22,176,1,28,8.0,22.0,2.8,,,,,,,,,176,1,9
1962,24,DAL,qb,17,13,8,21,74,0,14,3.5,5.7,1.6,,,,,,,,,74,0,10
1963,25,DAL,QB,17,14,12,41,185,3,26,4.5,13.2,2.9,,,,,,,,,185,3,7
1964,26,DAL,QB,17,12,10,32,81,4,17,2.5,6.8,2.7,,,,,,,,,81,4,16
1965,27,DAL,QB,17,14,11,35,247,1,22,7.1,17.6,2.5,,,,,,,,,247,1,11
1966*,28,DAL,QB,17,13,13,38,242,5,22,6.4,18.6,2.9,,,,,,,,,242,5,8
1967*,29,DAL,QB,17,11,11,28,84,0,16,3.0,7.6,2.5,,,,,,,,,84,0,6
1968*,30,DAL,QB,17,13,13,22,123,1,16,5.6,9.5,1.7,,,,,,,,,123,1,2
Career,,,,,104,83,242,1216,15,28,5.0,11.7,2.3,,,,,,,,,1216,15,71
