
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
1958,23,CRD,QB,17,11,6,1-2-0,105,195,53.8,1422,11,5.6,11,5.6,91,7.3,5.9,13.5,129.3,72.6,,,,,,0,0,
1959,24,CRD,,17,7,,,19,39,48.7,329,4,10.3,1,2.6,85,8.4,9.3,17.3,47.0,101.3,,,,,,0,0,
1960,25,WAS,,17,8,,,13,30,43.3,154,0,0.0,3,10.0,31,5.1,0.6,11.8,19.3,20.0,,,,,,,,1
1961,26,BUF,qb,14,12,3,2-1-0,83,181,45.9,1004,2,1.1,13,7.2,52,5.5,2.5,12.1,83.7,37.2,,,,,,,,0
1962,27,OAK,,17,1,,,2,5,40.0,23,0,0.0,0,0.0,15,4.6,4.6,11.5,23.0,54.6,,,,,,,,0
Career,,,,,39,9,3-3-0,222,450,49.3,2932,17,3.8,28,6.2,91,6.5,4.5,13.2,75.2,57.0,,,,,,0,0,1
2 yrs,,CRD,,,18,6,1-2-0,124,234,53.0,1751,15,6.4,12,5.1,91,7.5,6.5,14.1,97.3,77.4,,,,,,0,0,
1 yr,,BUF,,,12,3,2-1-0,83,181,45.9,1004,2,1.1,13,7.2,52,5.5,2.5,12.1,83.7,37.2,,,,,,,,0
1 yr,,OAK,,,1,0,,2,5,40.0,23,0,0.0,0,0.0,15,4.6,4.6,11.5,23.0,54.6,,,,,,,,0
1 yr,,WAS,,,8,0,,13,30,43.3,154,0,0.0,3,10.0,31,5.1,0.6,11.8,19.3,20.0,,,,,,,,1
