
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
1958,22,RAM,,15,5,,,5,14,35.7,34,1,7.1,3,21.4,14,2.4,-5.8,6.8,6.8,28.6,,,,,,0,0,
1959,23,RAM,qb,15,10,3,0-3-0,42,89,47.2,709,2,2.2,4,4.5,67,8.0,6.4,16.9,70.9,63.4,,,,,,0,0,
1960,24,RAM,qb,15,11,5,3-1-1,62,128,48.4,816,7,5.5,9,7.0,61,6.4,4.3,13.2,74.2,57.9,,,,,,0,0,5
1961,25,RAM,qb,15,14,3,2-1-0,72,142,50.7,1115,5,3.5,7,4.9,96,7.9,6.3,15.5,79.6,68.3,,,,,,0,2,5
1962,26,CLE,QB,13,11,7,3-3-1,112,194,57.7,1541,10,5.2,7,3.6,65,7.9,7.4,13.8,140.1,85.4,,,,,,1,0,10
1963,27,CLE,QB,13,13,13,10-3-0,135,256,52.7,2026,25,9.8,13,5.1,83,7.9,7.6,15.0,155.8,90.4,,,,,,1,1,12
1964*,28,CLE,QB,13,14,14,10-3-1,174,334,52.1,2404,25,7.5,19,5.7,62,7.2,6.1,13.8,171.7,76.7,,,,,,1,0,17
1965*,29,CLE,QB,13,12,12,10-2-0,119,243,49.0,1751,18,7.4,13,5.3,80,7.2,6.3,14.7,145.9,75.3,,,,,,3,3,10
1966*,30,CLE,QB,13,14,14,9-5-0,200,382,52.4,2974,29,7.6,14,3.7,54,7.8,7.7,14.9,212.4,88.2,,,,,,1,1,17
1967,31,CLE,QB,13,13,13,9-4-0,136,280,48.6,2026,20,7.1,16,5.7,49,7.2,6.1,14.9,155.8,72.7,,,,,,1,1,10
1968,32,CLE,qb,13,7,3,1-2-0,31,66,47.0,639,7,10.6,6,9.1,57,9.7,7.7,20.6,91.3,79.0,,,,,,0,1,4
1969,33,WAS,,13,1,,,1,1,100.0,4,0,0.0,0,0.0,4,4.0,4.0,4.0,4.0,83.3,0,0,4.00,4.00,0.0,,,0
1970,34,WAS,,13,1,0,,1,4,25.0,3,0,0.0,0,0.0,3,0.8,0.8,3.0,3.0,39.6,4,35,-4.00,-4.00,50.0,,,0
Career,,,,,126,87,57-27-3,1090,2133,51.1,16042,149,7.0,111,5.2,96,7.5,6.6,14.7,127.3,77.6,4,35,7.49,6.55,0.2,8,9,90
7 yrs,,CLE,,,84,76,52-22-2,907,1755,51.7,13361,134,7.6,88,5.0,83,7.6,6.9,14.7,159.1,81.4,,,,,,8,7,80
4 yrs,,RAM,,,40,11,5-5-1,181,373,48.5,2674,15,4.0,23,6.2,96,7.2,5.2,14.8,66.9,60.1,,,,,,0,2,10
2 yrs,,WAS,,,2,0,,2,5,40.0,7,0,0.0,0,0.0,4,1.4,1.4,3.5,3.5,47.9,4,35,-3.11,-3.11,44.4,,,0
