
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1958,22,RAM,,15,5,,5,45,0,12,9.0,9.0,1.0,,,,,,,,,45,0,1
1959,23,RAM,qb,15,10,3,19,57,1,13,3.0,5.7,1.9,,,,,,,,,57,1,5
1960,24,RAM,qb,15,11,5,19,85,1,24,4.5,7.7,1.7,,0,32,,1,32,0.0,2.9,117,2,1
1961,25,RAM,qb,15,14,3,38,139,0,28,3.7,9.9,2.7,,,,,,,,,139,0,3
1962,26,CLE,QB,13,11,7,42,242,1,39,5.8,22.0,3.8,,,,,,,,,242,1,6
1963,27,CLE,QB,13,13,13,62,224,2,25,3.6,17.2,4.8,,0,-1,,0,-1,0.0,-0.1,223,2,6
1964*,28,CLE,QB,13,14,14,37,217,1,19,5.9,15.5,2.6,,,,,,,,,217,1,4
1965*,29,CLE,QB,13,12,12,19,72,0,18,3.8,6.0,1.6,,,,,,,,,72,0,5
1966*,30,CLE,QB,13,14,14,36,156,0,17,4.3,11.1,2.6,,,,,,,,,156,0,5
1967,31,CLE,QB,13,13,13,22,57,0,12,2.6,4.4,1.7,,,,,,,,,57,0,4
1968,32,CLE,qb,13,7,3,11,64,0,19,5.8,9.1,1.6,,,,,,,,,64,0,2
Career,,,,,126,87,310,1358,6,39,4.4,10.8,2.5,,0,31,,1,32,0.0,0.2,1389,7,42
7 yrs,,CLE,,,84,76,229,1032,4,39,4.5,12.3,2.7,,0,-1,,0,0,0.0,0.0,1031,4,32
4 yrs,,RAM,,,40,11,81,326,2,28,4.0,8.2,2.0,,0,32,,1,32,0.0,0.8,358,3,10
2 yrs,,WAS,,,2,0,0,0,0,0,,0.0,0.0,,,,,,,,,0,0,0
