
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1942,25,CRD,TB,,11,9,111,313,2,28,2.8,28.5,10.1,,,,,,,,,313,2,0
1946,29,CLE,,,4,0,6,-1,1,0,-0.2,-0.3,1.5,,,,,,,,,-1,1,0
1947,30,BCL,QB,,14,2,25,58,1,0,2.3,4.1,1.8,,,,,,,,,58,1,0
1948,31,NYY,,,8,0,3,6,0,0,2.0,0.8,0.4,,,,,,,,,6,0,0
Career,,,,,37,11,145,376,4,28,2.6,10.2,3.9,,,,,,,,,376,4,0
1 yr,,BCL,,,14,2,25,58,1,0,2.3,4.1,1.8,,,,,,,,,58,1,0
1 yr,,CLE,,,4,0,6,-1,1,0,-0.2,-0.3,1.5,,,,,,,,,-1,1,0
1 yr,,CRD,,,11,9,111,313,2,28,2.8,28.5,10.1,,,,,,,,,313,2,0
1 yr,,NYY,,,8,0,3,6,0,0,2.0,0.8,0.4,,,,,,,,,6,0,0
