
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
1955,22,BAL,QB,14,12,12,5-6-1,119,237,50.2,1586,10,4.2,19,8.0,82,6.7,3.9,13.3,132.2,52.5,,,,,,0,0,
1956,23,BAL,qb,14,5,5,2-3-0,45,75,60.0,645,3,4.0,7,9.3,49,8.6,5.2,14.3,129.0,62.4,,,,,,0,0,
1957,24,BAL,,14,7,,,5,9,55.6,58,1,11.1,1,11.1,17,6.4,3.7,11.6,8.3,72.7,,,,,,0,0,
1958,25,BAL,qb,14,12,3,1-1-0,41,89,46.1,531,7,7.9,4,4.5,57,6.0,5.5,13.0,44.3,72.8,,,,,,0,0,
1959,26,NYG,qb,15,5,1,1-0-0,24,36,66.7,433,1,2.8,1,2.8,46,12.0,11.3,18.0,86.6,105.4,,,,,,0,0,
1960,27,NYG,qb,15,9,5,0-3-1,76,155,49.0,1263,11,7.1,13,8.4,71,8.1,5.8,16.6,140.3,65.6,,,,,,1,1,5
1961,28,MIN,qb,14,8,4,1-3-0,46,91,50.5,530,4,4.4,4,4.4,42,5.8,4.7,11.5,66.3,64.8,,,,,,,,2
1962,29,DEN,qb,17,13,1,1-0-0,49,110,44.5,783,4,3.6,14,12.7,97,7.1,2.1,16.0,60.2,41.4,,,,,,,,2
Career,,,,,71,31,11-16-2,405,802,50.5,5829,41,5.1,63,7.9,97,7.3,4.8,14.4,82.1,58.8,,,,,,1,1,9
4 yrs,,BAL,,,36,20,8-10-1,210,410,51.2,2820,21,5.1,31,7.6,82,6.9,4.5,13.4,78.3,59.0,,,,,,0,0,
2 yrs,,NYG,,,14,6,1-3-1,100,191,52.4,1696,12,6.3,14,7.3,71,8.9,6.8,17.0,121.1,73.1,,,,,,1,1,5
1 yr,,DEN,,,13,1,1-0-0,49,110,44.5,783,4,3.6,14,12.7,97,7.1,2.1,16.0,60.2,41.4,,,,,,,,2
1 yr,,MIN,,,8,4,1-3-0,46,91,50.5,530,4,4.4,4,4.4,42,5.8,4.7,11.5,66.3,64.8,,,,,,,,2
