
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1937,24,RAM,TB,,10,6,82,232,1,0,2.8,23.2,8.2,,3,20,6.7,0,16,0.3,2.0,252,1,0
1938,25,RAM,K/TB,,10,6,44,78,0,0,1.8,7.8,4.4,,1,16,16.0,0,16,0.1,1.6,94,0,0
1939,26,CHI,,,8,0,15,56,0,0,3.7,7.0,1.9,,,,,,,,,56,0,0
1940*,27,CHI,,,11,0,7,12,0,0,1.7,1.1,0.6,,,,,,,,,12,0,0
1941*,28,CHI,K,,11,0,7,-10,0,13,-1.4,-0.9,0.6,,,,,,,,,-10,0,0
1943,30,CHI,K/qb,,10,7,6,-20,0,3,-3.3,-2.0,0.6,,,,,,,,,-20,0,0
Career,,,,,60,19,161,348,1,13,2.2,5.8,2.7,,4,36,9.0,0,16,0.1,0.6,384,1,0
4 yrs,,CHI,,,40,7,35,38,0,13,1.1,1.0,0.9,,,,,,,,,38,0,0
2 yrs,,RAM,,,20,12,126,310,1,0,2.5,15.5,6.3,,4,36,9.0,0,16,0.2,1.8,346,1,0
