
Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV
1949,22,DET,qb,,6,4,,62,145,42.8,833,9,6.2,14,9.7,64,5.7,2.6,13.4,138.8,42.8,,,,,,0,0,
1950,23,CRD,qb,8,10,4,2-0-0,47,108,43.5,720,4,3.7,7,6.5,81,6.7,4.5,15.3,72.0,51.5,,,,,,0,0,
1951,24,CRD,qb,8,3,1,1-1-0,17,29,58.6,244,2,6.9,1,3.4,48,8.4,8.2,14.4,81.3,94.6,,,,,,0,0,
1952,25,2TM,,,12,7,1-6-0,91,186,48.9,809,3,1.6,17,9.1,42,4.3,0.6,8.9,67.4,28.3,,,,,,0,0,
,,DTX,qb,11,6,6,1-5-0,86,174,49.4,769,3,1.7,17,9.8,42,4.4,0.4,8.9,128.2,27.8,,,,,,0,0,
,,CRD,P,8,6,1,0-1-0,5,12,41.7,40,0,0.0,0,0.0,13,3.3,3.3,8.0,6.7,50.7,,,,,,0,0,
1960,33,DEN,QB,18,14,14,4-9-1,248,478,51.9,3038,24,5.0,34,7.1,80,6.4,4.2,12.3,217.0,58.9,,,,,,2,1,10
1961,34,DEN,QB,18,14,11,3-7-0,167,344,48.5,1690,10,2.9,21,6.1,87,4.9,2.7,10.1,120.7,47.3,,,,,,1,1,1
1962*,35,DEN,QB,18,14,13,6-7-0,240,440,54.5,2917,17,3.9,25,5.7,96,6.6,4.8,12.2,208.4,64.4,,,,,,3,3,9
1963,36,DEN,,18,2,2,0-2-0,7,15,46.7,31,0,0.0,5,33.3,14,2.1,-12.9,4.4,15.5,13.9,,,,,,,,0
Career,,,,,75,56,17-32-1,879,1745,50.4,10282,69,4.0,124,7.1,96,5.9,3.5,11.7,137.1,52.2,,,,,,6,5,20
4 yrs,,DEN,,,44,40,13-25-1,662,1277,51.8,7676,51,4.0,85,6.7,96,6.0,3.8,11.6,174.5,55.9,,,,,,6,5,20
3 yrs,,CRD,,,19,6,3-2-0,69,149,46.3,1004,6,4.0,8,5.4,81,6.7,5.1,14.6,52.8,59.8,,,,,,0,0,
1 yr,,DET,,,6,4,,62,145,42.8,833,9,6.2,14,9.7,64,5.7,2.6,13.4,138.8,42.8,,,,,,0,0,
1 yr,,DTX,,,6,6,1-5-0,86,174,49.4,769,3,1.7,17,9.8,42,4.4,0.4,8.9,128.2,27.8,,,,,,0,0,
