
,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,,,
Year,Age,Tm,Pos,No.,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,YScm,RRTD,Fmb
1954,24,RAM,qb,9,10,1,28,190,1,35,6.8,19.0,2.8,,,,,,,,,190,1,5
1955,25,RAM,,9,7,,11,43,0,14,3.9,6.1,1.6,,,,,,,,,43,0,4
1956,26,RAM,QB,9,12,8,26,93,3,33,3.6,7.8,2.2,,,,,,,,,93,3,4
1957,27,RAM,,9,5,,1,5,0,5,5.0,1.0,0.2,,,,,,,,,5,0,0
1958*,28,RAM,QB,9,12,12,42,90,2,22,2.1,7.5,3.5,,,,,,,,,90,2,14
1959,29,RAM,QB,9,12,9,25,95,2,17,3.8,7.9,2.1,,,,,,,,,95,2,6
1960,30,RAM,QB,9,11,6,26,171,2,66,6.6,15.5,2.4,,0,10,,0,10,0.0,0.9,181,2,5
1961,31,CHI,QB,9,13,9,45,255,2,29,5.7,19.6,3.5,,,,,,,,,255,2,3
1962,32,CHI,QB,9,14,14,40,146,5,21,3.7,10.4,2.9,,,,,,,,,146,5,7
1963*,33,CHI,QB,9,14,14,45,132,6,17,2.9,9.4,3.2,,,,,,,,,132,6,5
1964,34,CHI,QB,9,11,10,24,96,1,31,4.0,8.7,2.2,,,,,,,,,96,1,2
1965,35,CHI,qb,9,5,2,5,18,0,16,3.6,3.6,1.0,,,,,,,,,18,0,2
Career,,,,,128,85,318,1334,24,66,4.2,10.4,2.5,,0,10,,0,10,0.0,0.1,1344,24,57
7 yrs,,RAM,,,69,36,159,687,10,66,4.3,10.0,2.3,,0,10,,0,10,0.0,0.1,697,10,38
6 yrs,,CHI,,,59,49,159,647,14,31,4.1,11.0,2.7,,,,,,,,,647,14,19
