
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,2012,1,2012-09-09,23-221,NOR,,WAS,L 32-40,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
2,2012,4,2012-09-30,23-242,NOR,@,GNB,L 27-28,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
3,2012,6,2012-10-21,23-263,NOR,@,TAM,W 35-28,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
4,2012,7,2012-10-28,23-270,NOR,@,DEN,L 14-34,,,,,,,,,,,,,,,,,,,,,,
5,2012,8,2012-11-05,23-278,NOR,,PHI,W 28-13,0,0,0,,0,1,5,5.00,0,3,80,26.67,0,0,0,,0,0,0,0.0,0,0
6,2012,9,2012-11-11,23-284,NOR,,ATL,W 31-27,3,2,16,8.00,0,0,0,,0,2,45,22.50,0,1,2,2.00,0,0,0,0.0,0,0
7,2012,10,2012-11-18,23-291,NOR,@,OAK,W 38-17,3,2,25,12.50,0,0,0,,0,3,123,41.00,0,0,0,,0,0,0,0.0,0,0
8,2012,11,2012-11-25,23-298,NOR,,SFO,L 21-31,0,0,0,,0,0,0,,0,5,148,29.60,0,0,0,,0,0,0,0.0,0,0
9,2012,12,2012-11-29,23-302,NOR,@,ATL,L 13-23,0,0,0,,0,0,0,,0,4,94,23.50,0,0,0,,0,0,0,0.0,0,0
10,2012,13,2012-12-09,23-312,NOR,@,NYG,L 27-52,0,0,0,,0,0,0,,0,6,123,20.50,0,0,0,,0,0,0,0.0,0,0
11,2012,14,2012-12-16,23-319,NOR,,TAM,W 41-0,2,1,3,3.00,0,0,0,,0,1,30,30.00,0,0,0,,0,0,0,0.0,0,0
12,2012,15,2012-12-23,23-326,NOR,@,DAL,W 34-31,0,0,0,,0,0,0,,0,1,18,18.00,0,0,0,,0,0,0,0.0,0,0
13,2012,16,2012-12-30,23-333,NOR,,CAR,L 38-44,0,0,0,,0,0,0,,0,1,29,29.00,0,0,0,,0,0,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
14,2013,1,2013-09-08,24-219,NOR,,ATL,W 23-17,,,,,,,,,,,,,,,,,,,,,,
15,2013,2,2013-09-15,24-226,NOR,@,TAM,W 16-14,,,,,,,,,,,,,,,,,,,,,,
16,2013,3,2013-09-22,24-233,NOR,,ARI,W 31-7,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0
17,2013,4,2013-09-30,24-241,NOR,,MIA,W 38-17,,,,,,,,,,,,,,,,,,,,,,
18,2013,5,2013-10-06,24-247,NOR,@,CHI,W 26-18,,,,,,,,,,,,,,,,,,,,,,
19,2013,6,2013-10-13,24-254,NOR,@,NWE,L 27-30,1,1,3,3.00,1,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,0,1
20,2013,8,2013-11-03,24-275,NOR,@,NYJ,L 20-26,0,0,0,,0,0,0,,0,3,61,20.33,0,0,0,,0,0,0,0.0,1,1
21,2013,9,2013-11-10,24-282,NOR,,DAL,W 49-17,,,,,,,,,,,,,,,,,,,,,,
22,2013,10,2013-11-17,24-289,NOR,,SFO,W 23-20,0,0,0,,0,0,0,,0,1,82,82.00,0,0,0,,0,0,0,0.0,0,0
23,2013,11,2013-11-21,24-293,NOR,@,ATL,W 17-13,1,1,2,2.00,0,0,0,,0,1,20,20.00,0,1,0,0.00,0,0,0,0.0,0,0
24,2013,12,2013-12-02,24-304,NOR,@,SEA,L 7-34,0,0,0,,0,0,0,,0,3,54,18.00,0,0,0,,0,0,0,0.0,0,1
25,2013,13,2013-12-08,24-310,NOR,,CAR,W 31-13,0,0,0,,0,0,0,,0,1,22,22.00,0,0,0,,0,0,0,0.0,0,0
