
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,2014,1,2014-09-07,21-242,CLE,@,PIT,L 27-30,5,32,6.40,2,0,0,0,,0,2,12
2,2014,2,2014-09-14,21-249,CLE,,NOR,W 26-24,11,54,4.91,0,1,1,3,3.00,0,0,0
3,2014,3,2014-09-21,21-256,CLE,,BAL,L 21-23,11,55,5.00,1,0,0,0,,0,1,6
4,2014,4,2014-10-05,21-270,CLE,@,TEN,W 29-28,6,19,3.17,0,0,0,0,,0,0,0
5,2014,5,2014-10-12,21-277,CLE,,PIT,W 31-10,11,77,7.00,1,0,0,0,,0,1,6
6,2014,6,2014-10-19,21-284,CLE,@,JAX,L 6-24,7,18,2.57,0,2,1,5,5.00,0,0,0
7,2014,7,2014-10-26,21-291,CLE,,OAK,W 23-13,1,1,1.00,0,1,1,8,8.00,0,0,0
8,2014,8,2014-11-02,21-298,CLE,,TAM,W 22-17,,,,,,,,,,,
9,2014,9,2014-11-06,21-302,CLE,@,CIN,W 24-3,12,41,3.42,1,0,0,0,,0,1,6
10,2014,10,2014-11-16,21-312,CLE,,HOU,L 7-23,14,61,4.36,0,4,2,30,15.00,0,0,0
11,2014,11,2014-11-23,21-319,CLE,@,ATL,W 26-24,12,88,7.33,2,0,0,0,,0,2,12
12,2014,12,2014-11-30,21-326,CLE,@,BUF,L 10-26,17,29,1.71,0,2,1,15,15.00,0,0,0
13,2014,13,2014-12-07,21-333,CLE,,IND,L 24-25,14,54,3.86,1,0,0,0,,0,1,6
14,2014,14,2014-12-14,21-340,CLE,,CIN,L 0-30,7,17,2.43,0,3,2,10,5.00,0,0,0
15,2014,15,2014-12-21,21-347,CLE,@,CAR,L 13-17,16,55,3.44,0,0,0,0,,0,0,0
16,2014,16,2014-12-28,21-354,CLE,@,BAL,L 10-20,4,6,1.50,0,1,1,16,16.00,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
17,2015,1,2015-09-13,22-248,CLE,@,NYJ,L 10-31,12,20,1.67,0,2,2,13,6.50,0,0,0
18,2015,2,2015-09-20,22-255,CLE,,TEN,W 28-14,15,72,4.80,1,0,0,0,,0,1,6
19,2015,3,2015-09-27,22-262,CLE,,OAK,L 20-27,10,36,3.60,0,0,0,0,,0,0,0
20,2015,4,2015-10-04,22-269,CLE,@,SDG,L 27-30,12,63,5.25,0,3,3,62,20.67,0,0,0
21,2015,5,2015-10-11,22-276,CLE,@,BAL,W 33-30,13,49,3.77,0,2,2,38,19.00,1,1,6
22,2015,6,2015-10-18,22-283,CLE,,DEN,L 23-26,11,32,2.91,0,2,2,9,4.50,0,0,0
23,2015,7,2015-10-25,22-290,CLE,@,STL,L 6-24,8,9,1.13,0,0,0,0,,0,0,0
,,,23 Games,,,,,9-14-0,229,888,3.88,9,23,18,209,11.61,1,10,60
