
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
1,2011,16,2012-01-01,24-025,KAN,@,DEN,W 7-3,,,,,,,,,,,,,,,,,,
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
2,2012,1,2012-09-09,24-277,KAN,,ATL,L 24-40,6,29,4.83,1,2,2,12,6.00,0,0,0,,0,1,6,0.0,0,0
3,2012,2,2012-09-16,24-284,KAN,@,BUF,L 17-35,5,56,11.20,0,2,1,23,23.00,0,0,0,,0,0,0,0.0,0,0
4,2012,3,2012-09-23,24-291,KAN,@,NOR,W 27-24,7,22,3.14,0,3,3,26,8.67,0,2,37,18.50,0,0,0,0.0,0,0
5,2012,4,2012-09-30,24-298,KAN,,SDG,L 20-37,4,12,3.00,0,5,4,34,8.50,0,3,76,25.33,0,0,0,0.0,0,0
6,2012,5,2012-10-07,24-305,KAN,,BAL,L 6-9,12,40,3.33,0,1,1,5,5.00,0,3,82,27.33,0,0,0,0.0,0,0
7,2012,6,2012-10-14,24-312,KAN,@,TAM,L 10-38,11,11,1.00,0,4,3,12,4.00,0,0,0,,0,0,0,0.0,0,0
8,2012,7,2012-10-28,24-326,KAN,,OAK,L 16-26,2,7,3.50,0,2,1,7,7.00,0,2,52,26.00,0,0,0,0.0,0,0
9,2012,8,2012-11-01,24-330,KAN,@,SDG,L 13-31,1,6,6.00,1,2,2,21,10.50,0,4,83,20.75,0,1,6,0.0,0,0
10,2012,9,2012-11-12,24-341,KAN,@,PIT,L 13-16,0,0,,0,0,0,0,,0,2,34,17.00,0,0,0,0.0,0,0
11,2012,10,2012-11-18,24-347,KAN,,CIN,L 6-28,2,10,5.00,0,3,2,1,0.50,0,3,69,23.00,0,0,0,0.0,0,0
12,2012,11,2012-11-25,24-354,KAN,,DEN,L 9-17,2,13,6.50,0,0,0,0,,0,2,53,26.50,0,0,0,0.0,0,0
13,2012,12,2012-12-02,24-361,KAN,,CAR,W 27-21,0,0,,0,0,0,0,,0,1,31,31.00,0,0,0,0.0,0,0
14,2012,13,2012-12-09,25-002,KAN,@,CLE,L 7-30,1,0,0.00,0,2,1,8,8.00,0,1,20,20.00,0,0,0,0.0,0,0
15,2012,14,2012-12-16,25-009,KAN,@,OAK,L 0-15,0,0,,0,3,3,11,3.67,0,0,0,,0,0,0,0.0,0,0
16,2012,15,2012-12-23,25-016,KAN,,IND,L 13-20,1,4,4.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
17,2012,16,2012-12-30,25-023,KAN,@,DEN,L 3-38,5,23,4.60,0,1,1,-2,-2.00,0,0,0,,0,0,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
18,2013,3,2013-09-22,25-289,BAL,,HOU,W 30-9,4,2,0.50,0,0,0,0,,0,2,53,26.50,0,0,0,0.0,0,0
19,2013,4,2013-09-29,25-296,BAL,@,BUF,L 20-23,,,,,,,,,,,,,,,,,,
20,2013,5,2013-10-06,25-303,BAL,@,MIA,W 26-23,,,,,,,,,,,,,,,,,,
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
21,2014,1,2014-09-07,26-274,CHI,,BUF,L 20-23,0,0,,0,0,0,0,,0,0,0,,0,0,0,0.0,1,0
22,2014,2,2014-09-14,26-281,CHI,@,SFO,W 28-20,0,0,,0,0,0,0,,0,0,0,,0,0,0,0.0,1,0
23,2014,4,2014-09-28,26-295,SDG,,JAX,W 33-14,,,,,,,,,,,,,,,,,,
24,2014,5,2014-10-05,26-302,SDG,,NYJ,W 31-0,10,19,1.90,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
25,2014,7,2014-10-19,26-316,SDG,,KAN,L 20-23,0,0,,0,0,0,0,,0,3,58,19.33,0,0,0,0.0,0,0
26,2014,8,2014-10-23,26-320,SDG,@,DEN,L 21-35,,,,,,,,,,,,,,,,,,
27,2014,13,2014-12-07,27-000,CLE,,IND,L 24-25,,,,,,,,,,,,,,,,,,
28,2014,14,2014-12-14,27-007,CLE,,CIN,L 0-30,0,0,,0,0,0,0,,0,2,36,18.00,0,0,0,0.0,0,1
29,2014,15,2014-12-21,27-014,CLE,@,CAR,L 13-17,0,0,,0,0,0,0,,0,1,39,39.00,0,0,0,0.0,0,0
30,2014,16,2014-12-28,27-021,CLE,@,BAL,L 10-20,0,0,,0,0,0,0,,0,2,40,20.00,0,0,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
31,2015,1,2015-09-13,27-280,CLE,@,NYJ,L 10-31,1,4,4.00,0,1,0,0,,0,1,27,27.00,0,0,0,0.0,0,0
32,2015,2,2015-09-20,27-287,CLE,,TEN,W 28-14,0,0,,0,0,0,0,,0,1,31,31.00,0,0,0,0.0,0,0
33,2015,3,2015-09-27,27-294,CLE,,OAK,L 20-27,0,0,,0,1,1,2,2.00,0,1,19,19.00,0,0,0,0.0,0,0
34,2015,4,2015-10-04,27-301,CLE,@,SDG,L 27-30,1,6,6.00,0,1,1,-1,-1.00,0,0,0,,0,0,0,0.0,0,0
35,2015,6,2015-10-18,27-315,CLE,,DEN,L 23-26,0,0,,0,0,0,0,,0,2,29,14.50,0,0,0,0.0,0,0
36,2015,9,2015-11-08,27-336,SFO,,ATL,W 17-16,16,58,3.63,0,5,4,38,9.50,0,0,0,,0,0,0,0.0,0,0
,,,36 Games,,,,,10-26-0,91,322,3.54,2,38,30,197,6.57,0,38,869,22.87,0,2,12,0.0,2,1
