
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,2014,7,2014-10-16,24-111,NWE,,NYJ,W 27-25,3,12,4.00,0,0,0,0,,0,0,0,0.0,0,0
2,2014,8,2014-10-26,24-121,NWE,,CHI,W 51-23,17,86,5.06,0,0,0,0,,0,0,0,0.0,0,0
3,2014,9,2014-11-02,24-128,NWE,,DEN,W 43-21,12,33,2.75,0,1,0,0,,0,0,0,0.0,0,0
4,2014,10,2014-11-16,24-142,NWE,@,IND,W 42-20,37,201,5.43,4,0,0,0,,0,4,24,0.0,0,0
5,2014,12,2014-11-30,24-156,NWE,@,GNB,L 21-26,1,4,4.00,0,0,0,0,,0,0,0,0.0,0,0
6,2014,13,2014-12-07,24-163,NWE,@,SDG,W 23-14,2,9,4.50,0,0,0,0,,0,0,0,0.0,0,0
7,2014,14,2014-12-14,24-170,NWE,,MIA,W 41-13,11,62,5.64,0,1,1,7,7.00,0,0,0,0.0,1,0
8,2014,15,2014-12-21,24-177,NWE,@,NYJ,W 17-16,6,5,0.83,1,1,0,0,,0,1,6,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
9,2015,3,2015-09-27,25-092,MIA,,BUF,L 14-41,9,49,5.44,0,0,0,0,,0,0,0,0.0,0,0
10,2015,4,2015-10-04,25-099,MIA,,NYJ,L 14-27,1,0,0.00,0,0,0,0,,0,0,0,0.0,0,0
11,2015,5,2015-10-18,25-113,MIA,@,TEN,W 38-10,7,24,3.43,0,1,1,12,12.00,0,0,0,0.0,0,0
12,2015,6,2015-10-25,25-120,MIA,,HOU,W 44-26,12,48,4.00,0,1,1,10,10.00,0,0,0,0.0,0,0
13,2015,7,2015-10-29,25-124,MIA,@,NWE,L 7-36,2,1,0.50,0,5,4,50,12.50,0,0,0,0.0,0,0
14,2015,8,2015-11-08,25-134,MIA,@,BUF,L 17-33,0,0,,0,0,0,0,,0,0,0,0.0,0,0
,,,14 Games,,,,,9-5-0,120,534,4.45,5,10,7,79,11.29,0,5,30,0.0,1,0
