
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Sk,Tkl,Ast
1,2011,1,2011-09-08,23-077,GNB,,NOR,W 42-34,,,,,,,,,,,,,,,,
2,2011,4,2011-10-02,23-101,GNB,,DEN,W 49-23,3,11,3.67,0,0,0,0,,0,0,0,,0,0.0,0,0
3,2011,5,2011-10-09,23-108,GNB,@,ATL,W 25-14,0,0,,0,1,1,6,6.00,0,0,0,,0,0.0,0,0
4,2011,7,2011-10-23,23-122,GNB,@,MIN,W 33-27,,,,,,,,,,,,,,,,
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Sk,Tkl,Ast
5,2012,2,2012-09-13,24-082,GNB,,CHI,W 23-10,2,2,1.00,0,0,0,0,,0,0,0,,0,0.0,0,0
6,2012,4,2012-09-30,24-099,GNB,,NOR,W 28-27,,,,,,,,,,,,,,,,
7,2012,5,2012-10-07,24-106,GNB,@,IND,L 27-30,10,63,6.30,0,1,0,0,,0,0,0,,0,0.0,0,0
8,2012,6,2012-10-14,24-113,GNB,@,HOU,W 42-24,22,65,2.95,0,1,1,8,8.00,0,0,0,,0,0.0,0,0
9,2012,7,2012-10-21,24-120,GNB,@,STL,W 30-20,20,35,1.75,0,5,4,29,7.25,0,0,0,,0,0.0,0,0
10,2012,8,2012-10-28,24-127,GNB,,JAX,W 24-15,22,54,2.45,0,6,4,28,7.00,0,0,0,,0,0.0,0,0
11,2012,9,2012-11-04,24-134,GNB,,ARI,W 31-17,11,53,4.82,0,4,2,25,12.50,0,0,0,,0,0.0,0,0
12,2012,10,2012-11-18,24-148,GNB,@,DET,W 24-20,0,0,,0,1,0,0,,0,0,0,,0,0.0,0,0
13,2012,11,2012-11-25,24-155,GNB,@,NYG,L 10-38,10,30,3.00,0,4,3,20,6.67,0,0,0,,0,0.0,0,0
14,2012,12,2012-12-02,24-162,GNB,,MIN,W 23-14,12,58,4.83,0,1,1,12,12.00,0,0,0,,0,0.0,0,0
15,2012,13,2012-12-09,24-169,GNB,,DET,W 27-20,13,69,5.31,0,2,1,-3,-3.00,0,0,0,,0,0.0,0,0
16,2012,14,2012-12-16,24-176,GNB,@,CHI,W 21-13,13,35,2.69,0,5,2,6,3.00,0,0,0,,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Sk,Tkl,Ast
17,2013,1,2013-09-08,25-077,NYJ,,TAM,W 18-17,,,,,,,,,,,,,,,,
18,2013,2,2013-09-12,25-081,NYJ,@,NWE,L 10-13,,,,,,,,,,,,,,,,
19,2013,3,2013-09-22,25-091,NYJ,,BUF,W 27-20,5,14,2.80,0,0,0,0,,0,0,0,,0,0.0,0,0
20,2013,4,2013-09-29,25-098,NYJ,@,TEN,L 13-38,2,1,0.50,0,1,1,1,1.00,0,0,0,,0,0.0,0,0
21,2013,5,2013-10-07,25-106,NYJ,@,ATL,W 30-28,,,,,,,,,,,,,,,,
22,2013,6,2013-10-13,25-112,NYJ,,PIT,L 6-19,,,,,,,,,,,,,,,,
23,2013,7,2013-10-20,25-119,NYJ,,NWE,W 30-27,0,0,,0,,0,0,,0,0,0,,0,0.0,0,1
24,2013,8,2013-10-27,25-126,NYJ,@,CIN,L 9-49,3,20,6.67,0,1,1,7,7.00,0,0,0,,0,0.0,0,0
25,2013,12,2013-12-01,25-161,NYJ,,MIA,L 3-23,,,,,,,,,,,,,,,,
26,2013,13,2013-12-08,25-168,NYJ,,OAK,W 37-27,0,0,,0,0,0,0,,0,1,22,22.00,0,0.0,1,2
27,2013,14,2013-12-15,25-175,NYJ,@,CAR,L 20-30,,,,,,,,,,,,,,,,
28,2013,15,2013-12-22,25-182,NYJ,,CLE,W 24-13,0,0,,0,0,0,0,,0,0,0,,0,0.0,1,0
29,2013,16,2013-12-29,25-189,NYJ,@,MIA,W 20-7,1,0,0.00,0,0,0,0,,0,0,0,,0,0.0,1,0
,,,29 Games,,,,,21-8-0,149,510,3.42,0,33,21,139,6.62,0,1,22,22.00,0,0.0,3,3
