
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,2PM,Sfty,TD,Pts,Sk,Tkl,Ast
1,2009,2,2009-09-20,24-178,JAX,,ARI,L 17-31,2,1,0.50,0,0,0,0,,0,3,56,18.67,0,,,0,0,0.0,0,0
2,2009,3,2009-09-27,24-185,JAX,@,HOU,W 31-24,1,1,1.00,0,1,1,8,8.00,0,0,0,,0,,,0,0,0.0,0,0
3,2009,4,2009-10-04,24-192,JAX,,TEN,W 37-17,9,53,5.89,0,0,0,0,,0,0,0,,0,,,0,0,0.0,0,0
4,2009,5,2009-10-11,24-199,JAX,@,SEA,L 0-41,2,3,1.50,0,0,0,0,,0,0,0,,0,,,0,0,0.0,0,0
5,2009,6,2009-10-18,24-206,JAX,,STL,W 23-20,1,2,2.00,0,1,1,-3,-3.00,0,0,0,,0,,,0,0,0.0,0,0
6,2009,7,2009-11-01,24-220,JAX,@,TEN,L 13-30,3,8,2.67,0,1,1,1,1.00,0,0,0,,0,,,0,0,0.0,0,0
7,2009,8,2009-11-08,24-227,JAX,,KAN,W 24-21,2,29,14.50,1,1,1,9,9.00,0,0,0,,0,,,1,6,0.0,0,0
8,2009,9,2009-11-15,24-234,JAX,@,NYJ,W 24-22,2,5,2.50,0,0,0,0,,0,0,0,,0,,,0,0,0.0,0,0
9,2009,10,2009-11-22,24-241,JAX,,BUF,W 18-15,2,8,4.00,0,0,0,0,,0,0,0,,0,,,0,0,0.0,0,0
10,2009,11,2009-11-29,24-248,JAX,@,SFO,L 3-20,2,11,5.50,0,2,2,25,12.50,0,0,0,,0,,,0,0,0.0,0,0
11,2009,12,2009-12-06,24-255,JAX,,HOU,W 23-18,2,14,7.00,0,1,1,8,8.00,0,0,0,,0,,,0,0,0.0,0,0
12,2009,13,2009-12-13,24-262,JAX,,MIA,L 10-14,1,10,10.00,0,2,2,-2,-1.00,0,0,0,,0,,,0,0,0.0,0,0
13,2009,14,2009-12-17,24-266,JAX,,IND,L 31-35,5,23,4.60,0,1,1,5,5.00,0,0,0,,0,,,0,0,0.0,0,0
14,2009,15,2009-12-27,24-276,JAX,@,NWE,L 7-35,2,25,12.50,0,4,3,19,6.33,0,0,0,,0,,,0,0,0.0,0,0
15,2009,16,2010-01-03,24-283,JAX,@,CLE,L 17-23,3,9,3.00,0,4,3,31,10.33,0,0,0,,0,,,0,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,2PM,Sfty,TD,Pts,Sk,Tkl,Ast
16,2010,1,2010-09-12,25-170,JAX,,DEN,W 24-17,4,26,6.50,0,2,1,4,4.00,0,0,0,,0,,,0,0,0.0,0,0
