
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,2PM,TD,Pts,Sk,Tkl,Ast
1,2012,1,2012-09-09,25-218,MIA,@,HOU,L 10-30,0,0,,0,1,1,24,24.00,0,1,18,18.00,0,,0,0,0.0,0,0
2,2012,2,2012-09-16,25-225,MIA,,OAK,W 35-13,4,12,3.00,0,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
3,2012,3,2012-09-23,25-232,MIA,,NYJ,L 20-23,2,4,2.00,1,1,1,1,1.00,0,0,0,,0,,1,6,0.0,0,0
4,2012,4,2012-09-30,25-239,MIA,@,ARI,L 21-24,3,2,0.67,1,0,0,0,,0,0,0,,0,1,1,8,0.0,0,0
5,2012,5,2012-10-07,25-246,MIA,@,CIN,W 17-13,2,-5,-2.50,0,2,2,20,10.00,0,0,0,,0,,0,0,0.0,0,0
6,2012,6,2012-10-14,25-253,MIA,,STL,W 17-14,0,0,,0,2,2,12,6.00,0,0,0,,0,,0,0,0.0,0,0
7,2012,7,2012-10-28,25-267,MIA,@,NYJ,W 30-9,0,0,,0,0,0,0,,0,0,0,,0,,0,0,0.0,0,1
8,2012,8,2012-11-04,25-274,MIA,@,IND,L 20-23,0,0,,0,1,0,0,,0,0,0,,0,,0,0,0.0,0,0
9,2012,9,2012-11-11,25-281,MIA,,TEN,L 3-37,1,0,0.00,0,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
10,2012,10,2012-11-15,25-285,MIA,@,BUF,L 14-19,1,0,0.00,0,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
11,2012,11,2012-11-25,25-295,MIA,,SEA,W 24-21,,,,,,,,,,,,,,,,,,,
12,2012,12,2012-12-02,25-302,MIA,,NWE,L 16-23,0,0,,0,1,1,2,2.00,0,0,0,,0,,0,0,0.0,0,0
13,2012,13,2012-12-09,25-309,MIA,@,SFO,L 13-27,0,0,,0,0,0,0,,0,1,24,24.00,0,,0,0,0.0,0,0
14,2012,14,2012-12-16,25-316,MIA,,JAX,W 24-3,0,0,,0,2,2,6,3.00,1,0,0,,0,,1,6,0.0,0,0
15,2012,15,2012-12-23,25-323,MIA,,BUF,W 24-10,,,,,,,,,,,,,,,,,,,
16,2012,16,2012-12-30,25-330,MIA,@,NWE,L 0-28,0,0,,0,2,2,14,7.00,0,0,0,,0,,0,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,2PM,TD,Pts,Sk,Tkl,Ast
17,2014,1,2014-09-07,27-215,TAM,,CAR,L 14-20,1,54,54.00,0,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
18,2014,2,2014-09-14,27-222,TAM,,STL,L 17-19,0,0,,0,1,1,3,3.00,0,0,0,,0,,0,0,0.0,0,0
19,2014,3,2014-09-18,27-226,TAM,@,ATL,L 14-56,,,,,,,,,,,,,,,,,,,
20,2014,4,2014-09-28,27-236,TAM,@,PIT,W 27-24,1,2,2.00,0,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
21,2014,5,2014-10-05,27-243,TAM,@,NOR,L 31-37,,,,,,,,,,,,,,,,,,,
22,2014,6,2014-10-12,27-250,TAM,,BAL,L 17-48,,,,,,,,,,,,,,,,,,,
23,2014,9,2014-11-09,27-278,TAM,,ATL,L 17-27,,,,,,,,,,,,,,,,,,,
24,2014,10,2014-11-16,27-285,TAM,@,WAS,W 27-7,0,0,,0,0,0,0,,0,1,9,9.00,0,,0,0,0.0,0,0
