
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,2012,2,2012-09-16,21-144,MIA,,OAK,W 35-13,10,65,6.50,1,0,0,0,,0,1,6,0.0,0,0
2,2012,3,2012-09-23,21-151,MIA,,NYJ,L 20-23,9,48,5.33,0,0,0,0,,0,0,0,0.0,0,0
3,2012,4,2012-09-30,21-158,MIA,@,ARI,L 21-24,4,13,3.25,0,0,0,0,,0,0,0,0.0,0,0
4,2012,5,2012-10-07,21-165,MIA,@,CIN,W 17-13,,,,,,,,,,,,,,
5,2012,6,2012-10-14,21-172,MIA,,STL,W 17-14,,,,,,,,,,,,,,
6,2012,8,2012-11-04,21-193,MIA,@,IND,L 20-23,1,7,7.00,0,0,0,0,,0,0,0,0.0,0,0
7,2012,9,2012-11-11,21-200,MIA,,TEN,L 3-37,3,12,4.00,0,3,2,13,6.50,0,0,0,0.0,0,0
8,2012,10,2012-11-15,21-204,MIA,@,BUF,L 14-19,,,,,,,,,,,,,,
9,2012,12,2012-12-02,21-221,MIA,,NWE,L 16-23,,,,,,,,,,,,,,
10,2012,13,2012-12-09,21-228,MIA,@,SFO,L 13-27,3,1,0.33,0,1,1,8,8.00,0,0,0,0.0,0,0
11,2012,14,2012-12-16,21-235,MIA,,JAX,W 24-3,6,18,3.00,0,1,1,2,2.00,0,0,0,0.0,0,0
12,2012,15,2012-12-23,21-242,MIA,,BUF,W 24-10,10,73,7.30,0,1,0,0,,0,0,0,0.0,0,0
13,2012,16,2012-12-30,21-249,MIA,@,NWE,L 0-28,5,13,2.60,0,2,2,22,11.00,0,0,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
14,2013,1,2013-09-08,22-136,MIA,@,CLE,W 23-10,10,3,0.30,0,1,1,7,7.00,0,0,0,0.0,0,0
15,2013,2,2013-09-15,22-143,MIA,@,IND,W 24-20,14,69,4.93,1,2,2,6,3.00,0,1,6,0.0,0,0
16,2013,3,2013-09-22,22-150,MIA,,ATL,W 27-23,8,62,7.75,0,3,1,2,2.00,0,0,0,0.0,1,0
17,2013,4,2013-09-30,22-158,MIA,@,NOR,L 17-38,11,62,5.64,1,3,1,6,6.00,0,1,6,0.0,1,0
18,2013,5,2013-10-06,22-164,MIA,,BAL,L 23-26,7,15,2.14,0,0,0,0,,0,0,0,0.0,0,0
19,2013,6,2013-10-20,22-178,MIA,,BUF,L 21-23,9,43,4.78,0,3,1,4,4.00,0,0,0,0.0,0,0
20,2013,7,2013-10-27,22-185,MIA,@,NWE,L 17-27,18,89,4.94,0,3,3,23,7.67,0,0,0,0.0,0,0
21,2013,8,2013-10-31,22-189,MIA,,CIN,W 22-20,16,105,6.56,0,4,4,24,6.00,0,0,0,0.0,0,0
