
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
1,2011,1,2011-09-11,23-211,DAL,@,NYJ,L 24-27,2,0,0.00,0,1,1,13,13.00,0,1,14,14.00,0,0,0,0.0,0,0
2,2011,2,2011-09-18,23-218,DAL,@,SFO,W 27-24,6,21,3.50,0,1,1,4,4.00,0,0,0,,0,0,0,0.0,0,0
3,2011,3,2011-09-26,23-226,DAL,,WAS,W 18-16,2,6,3.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
4,2011,4,2011-10-02,23-232,DAL,,DET,L 30-34,4,12,3.00,0,1,1,-1,-1.00,0,0,0,,0,0,0,0.0,0,0
5,2011,5,2011-10-16,23-246,DAL,@,NWE,L 16-20,11,34,3.09,0,2,1,7,7.00,0,1,22,22.00,0,0,0,0.0,0,0
6,2011,6,2011-10-23,23-253,DAL,,STL,W 34-7,25,253,10.12,1,2,0,0,,0,0,0,,0,1,6,0.0,0,0
7,2011,7,2011-10-30,23-260,DAL,@,PHI,L 7-34,8,74,9.25,0,3,1,-2,-2.00,0,0,0,,0,0,0,0.0,0,0
8,2011,8,2011-11-06,23-267,DAL,,SEA,W 23-13,22,139,6.32,0,6,4,47,11.75,0,0,0,,0,0,0,0.0,0,0
9,2011,9,2011-11-13,23-274,DAL,,BUF,W 44-7,20,135,6.75,1,7,6,36,6.00,0,0,0,,0,1,6,0.0,0,0
10,2011,10,2011-11-20,23-281,DAL,@,WAS,W 27-24,25,73,2.92,0,7,6,32,5.33,0,0,0,,0,0,0,0.0,0,0
11,2011,11,2011-11-24,23-285,DAL,,MIA,W 20-19,22,87,3.95,0,4,4,41,10.25,0,0,0,,0,0,0,0.0,0,0
12,2011,12,2011-12-04,23-295,DAL,@,ARI,L 13-19,12,38,3.17,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
13,2011,13,2011-12-11,23-302,DAL,,NYG,L 34-37,5,25,5.00,0,1,1,6,6.00,0,0,0,,0,0,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
14,2012,1,2012-09-05,24-206,DAL,@,NYG,W 24-17,20,131,6.55,0,2,2,9,4.50,0,0,0,,0,0,0,0.0,0,0
15,2012,2,2012-09-16,24-217,DAL,@,SEA,L 7-27,12,44,3.67,0,4,4,31,7.75,0,0,0,,0,0,0,0.0,0,0
16,2012,3,2012-09-23,24-224,DAL,,TAM,W 16-10,18,38,2.11,1,4,3,17,5.67,0,0,0,,0,1,6,0.0,0,0
17,2012,4,2012-10-01,24-232,DAL,,CHI,L 18-34,11,24,2.18,0,7,7,57,8.14,0,0,0,,0,0,0,0.0,0,0
18,2012,5,2012-10-14,24-245,DAL,@,BAL,L 29-31,14,93,6.64,0,1,1,4,4.00,0,0,0,,0,0,0,0.0,0,0
19,2012,12,2012-12-02,24-294,DAL,,PHI,W 38-33,23,83,3.61,1,4,4,19,4.75,0,0,0,,0,1,6,0.0,0,0
20,2012,13,2012-12-09,24-301,DAL,@,CIN,W 20-19,21,53,2.52,1,6,4,22,5.50,0,0,0,,0,1,6,0.0,0,0
21,2012,14,2012-12-16,24-308,DAL,,PIT,W 27-24,14,81,5.79,1,4,4,31,7.75,0,0,0,,0,1,6,0.0,0,0
22,2012,15,2012-12-23,24-315,DAL,,NOR,L 31-34,11,40,3.64,0,6,4,51,12.75,0,0,0,,0,0,0,0.0,0,0
23,2012,16,2012-12-30,24-322,DAL,@,WAS,L 18-28,17,76,4.47,0,4,2,10,5.00,0,0,0,,0,0,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
24,2013,1,2013-09-08,25-208,DAL,,NYG,W 36-31,20,86,4.30,0,10,8,39,4.88,0,0,0,,0,0,0,0.0,1,0
25,2013,2,2013-09-15,25-215,DAL,@,KAN,L 16-17,12,25,2.08,0,6,5,49,9.80,0,0,0,,0,0,0,0.0,0,0
26,2013,3,2013-09-22,25-222,DAL,,STL,W 31-7,26,175,6.73,1,3,3,28,9.33,0,0,0,,0,1,6,0.0,0,0
27,2013,4,2013-09-29,25-229,DAL,@,SDG,L 21-30,14,70,5.00,0,5,5,22,4.40,0,0,0,,0,0,0,0.0,0,0
28,2013,5,2013-10-06,25-236,DAL,,DEN,L 48-51,12,43,3.58,1,1,1,5,5.00,0,0,0,,0,1,6,0.0,0,0
29,2013,6,2013-10-13,25-243,DAL,,WAS,W 31-16,7,29,4.14,1,2,2,21,10.50,0,0,0,,0,1,6,0.0,0,0
30,2013,9,2013-11-03,25-264,DAL,,MIN,W 27-23,4,31,7.75,0,7,6,19,3.17,0,0,0,,0,0,0,0.0,0,0
31,2013,10,2013-11-10,25-271,DAL,@,NOR,L 17-49,16,89,5.56,1,2,1,6,6.00,0,0,0,,0,1,6,0.0,0,0
32,2013,11,2013-11-24,25-285,DAL,@,NYG,W 24-21,14,86,6.14,0,3,3,40,13.33,0,0,0,,0,0,0,0.0,0,0
33,2013,12,2013-11-28,25-289,DAL,,OAK,W 31-24,17,63,3.71,3,5,5,39,7.80,0,0,0,,0,3,18,0.0,0,0
34,2013,13,2013-12-09,25-300,DAL,@,CHI,L 28-45,18,146,8.11,0,5,2,9,4.50,0,0,0,,0,0,0,0.0,0,0
35,2013,14,2013-12-15,25-306,DAL,,GNB,L 36-37,18,134,7.44,1,7,4,19,4.75,0,0,0,,0,1,6,0.0,0,0
36,2013,15,2013-12-22,25-313,DAL,@,WAS,W 24-23,22,96,4.36,1,3,3,15,5.00,1,0,0,,0,2,12,0.0,0,0
37,2013,16,2013-12-29,25-320,DAL,,PHI,L 22-24,17,48,2.82,0,7,5,39,7.80,0,0,0,,0,0,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
38,2014,1,2014-09-07,26-207,DAL,,SFO,L 17-28,22,118,5.36,1,4,3,25,8.33,0,0,0,,0,1,6,0.0,0,0
39,2014,2,2014-09-14,26-214,DAL,@,TEN,W 26-10,29,167,5.76,1,2,1,6,6.00,0,0,0,,0,1,6,0.0,1,0
40,2014,3,2014-09-21,26-221,DAL,@,STL,W 34-31,24,100,4.17,1,4,4,31,7.75,0,0,0,,0,1,6,0.0,0,0
41,2014,4,2014-09-28,26-228,DAL,,NOR,W 38-17,24,149,6.21,2,1,1,6,6.00,0,0,0,,0,2,12,0.0,0,0
42,2014,5,2014-10-05,26-235,DAL,,HOU,W 20-17,31,136,4.39,0,8,6,56,9.33,0,0,0,,0,0,0,0.0,0,0
43,2014,6,2014-10-12,26-242,DAL,@,SEA,W 30-23,28,115,4.11,1,6,6,31,5.17,0,0,0,,0,1,6,0.0,0,0
44,2014,7,2014-10-19,26-249,DAL,,NYG,W 31-21,28,128,4.57,1,1,1,4,4.00,0,0,0,,0,1,6,0.0,1,0
45,2014,8,2014-10-27,26-257,DAL,,WAS,L 17-20,19,141,7.42,0,4,4,80,20.00,0,0,0,,0,0,0,0.0,0,0
46,2014,9,2014-11-02,26-263,DAL,,ARI,L 17-28,19,79,4.16,0,4,4,11,2.75,0,0,0,,0,0,0,0.0,0,0
47,2014,10,2014-11-09,26-270,DAL,@,JAX,W 31-17,19,100,5.26,0,7,6,31,5.17,0,0,0,,0,0,0,0.0,0,0
48,2014,11,2014-11-23,26-284,DAL,@,NYG,W 31-28,24,121,5.04,0,3,2,22,11.00,0,0,0,,0,0,0,0.0,0,0
49,2014,12,2014-11-27,26-288,DAL,,PHI,L 10-33,20,73,3.65,1,6,6,40,6.67,0,0,0,,0,1,6,0.0,0,0
50,2014,13,2014-12-04,26-295,DAL,@,CHI,W 41-28,32,179,5.59,1,10,9,49,5.44,0,0,0,,0,1,6,0.0,0,0
51,2014,14,2014-12-14,26-305,DAL,@,PHI,W 38-27,31,81,2.61,2,1,1,3,3.00,0,0,0,,0,2,12,0.0,0,0
52,2014,15,2014-12-21,26-312,DAL,,IND,W 42-7,22,58,2.64,1,0,0,0,,0,0,0,,0,1,6,0.0,0,0
53,2014,16,2014-12-28,26-319,DAL,@,WAS,W 44-17,20,100,5.00,1,3,3,21,7.00,0,0,0,,0,1,6,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
54,2015,1,2015-09-14,27-214,PHI,@,ATL,L 24-26,8,9,1.13,1,5,4,11,2.75,1,0,0,,0,2,12,0.0,0,0
55,2015,2,2015-09-20,27-220,PHI,,DAL,L 10-20,13,2,0.15,0,5,5,53,10.60,0,0,0,,0,0,0,0.0,0,0
56,2015,4,2015-10-04,27-234,PHI,@,WAS,L 20-23,8,36,4.50,0,2,2,12,6.00,0,0,0,,0,0,0,0.0,0,0
