
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
1,2014,5,2014-10-05,21-273,KAN,@,SFO,L 17-22,0,0,0,,0,1,17,17.00,1,0,0,,0,2,38,19.00,0,1,6
2,2014,6,2014-10-19,21-287,KAN,@,SDG,W 23-20,2,2,21,10.50,0,1,5,5.00,0,2,36,18.00,0,3,47,15.67,0,0,0
3,2014,7,2014-10-26,21-294,KAN,,STL,W 34-7,5,4,14,3.50,0,0,0,,0,0,0,,0,4,27,6.75,0,0,0
4,2014,8,2014-11-02,21-301,KAN,,NYJ,W 24-10,1,1,5,5.00,0,1,26,26.00,0,1,78,78.00,0,2,35,17.50,0,0,0
5,2014,9,2014-11-09,21-308,KAN,@,BUF,W 17-13,0,0,0,,0,1,3,3.00,0,1,38,38.00,0,3,8,2.67,0,0,0
6,2014,10,2014-11-16,21-315,KAN,,SEA,W 24-20,1,1,10,10.00,0,3,22,7.33,0,1,32,32.00,0,1,9,9.00,0,0,0
7,2014,11,2014-11-20,21-319,KAN,@,OAK,L 20-24,6,2,15,7.50,0,1,9,9.00,0,1,48,48.00,0,2,3,1.50,0,0,0
8,2014,12,2014-11-30,21-329,KAN,,DEN,L 16-29,2,2,5,2.50,0,0,0,,0,4,89,22.25,0,0,0,,0,0,0
9,2014,13,2014-12-07,21-336,KAN,@,ARI,L 14-17,1,1,6,6.00,0,2,5,2.50,0,2,62,31.00,0,3,4,1.33,0,0,0
10,2014,14,2014-12-14,21-343,KAN,,OAK,W 31-13,3,1,5,5.00,0,2,14,7.00,0,0,0,,0,8,156,19.50,1,0,6
11,2014,15,2014-12-21,21-350,KAN,@,PIT,L 12-20,7,6,47,7.83,0,1,-6,-6.00,0,2,45,22.50,0,2,9,4.50,0,0,0
12,2014,16,2014-12-28,21-357,KAN,,SDG,W 19-7,3,3,28,9.33,0,1,18,18.00,0,0,0,,0,4,69,17.25,0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
13,2015,1,2015-09-13,22-251,KAN,@,HOU,W 27-20,2,1,2,2.00,0,1,9,9.00,0,0,0,,0,5,81,16.20,0,0,0
14,2015,2,2015-09-17,22-255,KAN,,DEN,L 24-31,4,2,20,10.00,0,0,0,,0,0,0,,0,4,15,3.75,0,0,0
15,2015,3,2015-09-28,22-266,KAN,@,GNB,L 28-38,2,2,12,6.00,0,1,-7,-7.00,0,1,19,19.00,0,5,18,3.60,0,0,0
16,2015,4,2015-10-04,22-272,KAN,@,CIN,L 21-36,1,1,11,11.00,0,2,-4,-2.00,0,1,23,23.00,0,0,0,,0,0,0
17,2015,5,2015-10-11,22-279,KAN,,CHI,L 17-18,3,2,24,12.00,1,1,5,5.00,0,1,19,19.00,0,3,17,5.67,0,1,6
18,2015,6,2015-10-18,22-286,KAN,@,MIN,L 10-16,1,0,0,,0,1,1,1.00,0,1,20,20.00,0,2,24,12.00,0,0,0
19,2015,7,2015-10-25,22-293,KAN,,PIT,W 23-13,3,2,12,6.00,0,1,13,13.00,0,1,30,30.00,0,1,25,25.00,0,0,0
,,,19 Games,,,,,9-10-0,47,33,237,7.18,1,21,130,6.19,1,19,539,28.37,0,54,585,10.83,1,2,18
