
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
1,2012,1,2012-09-09,22-282,SEA,@,ARI,L 16-20,2,5,2.50,0,1,1,2,2.00,0,0,0,,0,0,0,0.0,0,0
2,2012,2,2012-09-16,22-289,SEA,,DAL,W 27-7,5,15,3.00,0,2,2,24,12.00,0,0,0,,0,0,0,0.0,0,0
3,2012,3,2012-09-24,22-297,SEA,,GNB,W 14-12,,,,,,,,,,,,,,,,,,
4,2012,4,2012-09-30,22-303,SEA,@,STL,L 13-19,6,45,7.50,0,2,2,13,6.50,0,0,0,,0,0,0,0.0,1,0
5,2012,5,2012-10-07,22-310,SEA,@,CAR,W 16-12,4,6,1.50,0,2,2,8,4.00,0,0,0,,0,0,0,0.0,0,0
6,2012,6,2012-10-14,22-317,SEA,,NWE,W 24-23,5,27,5.40,0,2,2,21,10.50,0,0,0,,0,0,0,0.0,0,0
7,2012,7,2012-10-18,22-321,SEA,@,SFO,L 6-13,4,17,4.25,0,1,0,0,,0,0,0,,0,0,0,0.0,0,0
8,2012,8,2012-10-28,22-331,SEA,@,DET,L 24-28,4,14,3.50,0,3,2,28,14.00,0,0,0,,0,0,0,0.0,0,0
9,2012,9,2012-11-04,22-338,SEA,,MIN,W 30-20,5,21,4.20,0,1,1,9,9.00,0,0,0,,0,0,0,0.0,0,0
10,2012,10,2012-11-11,22-345,SEA,,NYJ,W 28-7,7,17,2.43,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
11,2012,11,2012-11-25,22-359,SEA,@,MIA,L 21-24,2,9,4.50,0,3,3,47,15.67,0,0,0,,0,0,0,0.0,0,0
12,2012,12,2012-12-02,23-000,SEA,@,CHI,W 23-17,1,6,6.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
13,2012,13,2012-12-09,23-007,SEA,,ARI,W 58-0,20,108,5.40,0,1,0,0,,0,0,0,,0,0,0,0.0,0,0
14,2012,14,2012-12-16,23-014,SEA,@,BUF,W 50-17,10,31,3.10,0,1,1,-3,-3.00,0,0,0,,0,0,0,0.0,0,0
15,2012,15,2012-12-23,23-021,SEA,,SFO,W 42-13,3,38,12.67,0,3,2,20,10.00,0,0,0,,0,0,0,0.0,0,0
16,2012,16,2012-12-30,23-028,SEA,,STL,W 20-13,2,-5,-2.50,0,1,1,12,12.00,0,0,0,,0,0,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
17,2013,1,2013-09-08,23-280,SEA,@,CAR,W 12-7,3,17,5.67,0,2,2,13,6.50,0,0,0,,0,0,0,0.0,0,0
18,2013,2,2013-09-15,23-287,SEA,,SFO,W 29-3,6,31,5.17,0,1,0,0,,0,0,0,,0,0,0,0.0,0,0
19,2013,3,2013-09-22,23-294,SEA,,JAX,W 45-17,3,5,1.67,0,1,0,0,,0,0,0,,0,0,0,0.0,0,0
20,2013,4,2013-09-29,23-301,SEA,@,HOU,W 23-20,3,4,1.33,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
21,2013,5,2013-10-06,23-308,SEA,@,IND,L 28-34,4,14,3.50,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
22,2013,6,2013-10-13,23-315,SEA,,TEN,W 20-13,1,13,13.00,0,2,2,23,11.50,0,0,0,,0,0,0,0.0,0,0
23,2013,7,2013-10-17,23-319,SEA,@,ARI,W 34-22,3,15,5.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
24,2013,8,2013-10-28,23-330,SEA,@,STL,W 14-9,3,5,1.67,0,1,1,16,16.00,0,0,0,,0,0,0,0.0,0,0
25,2013,9,2013-11-03,23-336,SEA,,TAM,W 27-24,8,37,4.63,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
26,2013,10,2013-11-10,23-343,SEA,@,ATL,W 33-10,7,13,1.86,0,1,1,-5,-5.00,0,0,0,,0,0,0,0.0,0,0
27,2013,11,2013-11-17,23-350,SEA,,MIN,W 41-20,7,17,2.43,0,2,1,12,12.00,0,1,20,20.00,0,0,0,0.0,1,0
28,2013,12,2013-12-02,24-000,SEA,,NOR,W 34-7,11,34,3.09,0,0,0,0,,0,2,40,20.00,0,0,0,0.0,0,0
29,2013,13,2013-12-08,24-006,SEA,@,SFO,L 17-19,2,12,6.00,0,1,0,0,,0,2,49,24.50,0,0,0,0.0,0,0
30,2013,14,2013-12-15,24-013,SEA,@,NYG,W 23-0,9,34,3.78,0,1,1,1,1.00,0,0,0,,0,0,0,0.0,0,0
31,2013,15,2013-12-22,24-020,SEA,,ARI,L 10-17,0,0,,0,0,0,0,,0,3,68,22.67,0,0,0,0.0,0,0
32,2013,16,2013-12-29,24-027,SEA,,STL,W 27-9,7,13,1.86,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
33,2014,1,2014-09-04,24-276,SEA,,GNB,W 36-16,6,27,4.50,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
34,2014,2,2014-09-14,24-286,SEA,@,SDG,L 21-30,2,7,3.50,0,2,2,35,17.50,1,0,0,,0,1,6,0.0,0,0
35,2014,3,2014-09-21,24-293,SEA,,DEN,W 26-20,2,1,0.50,0,1,1,4,4.00,0,0,0,,0,0,0,0.0,0,0
36,2014,4,2014-10-06,24-308,SEA,@,WAS,W 27-17,5,19,3.80,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
37,2014,5,2014-10-12,24-314,SEA,,DAL,L 23-30,2,10,5.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
38,2014,6,2014-10-19,24-321,SEA,@,STL,L 26-28,2,7,3.50,0,4,3,24,8.00,0,0,0,,0,0,0,0.0,0,0
39,2014,7,2014-10-26,24-328,SEA,@,CAR,W 13-9,2,10,5.00,0,3,3,32,10.67,0,0,0,,0,0,0,0.0,0,0
40,2014,8,2014-11-02,24-335,SEA,,OAK,W 30-24,5,35,7.00,0,2,1,14,14.00,0,0,0,,0,0,0,0.0,1,0
41,2014,9,2014-11-09,24-342,SEA,,NYG,W 38-17,6,32,5.33,0,0,0,0,,0,0,0,,0,0,0,0.0,0,1
42,2014,10,2014-11-16,24-349,SEA,@,KAN,L 20-24,4,11,2.75,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
43,2014,11,2014-11-23,24-356,SEA,,ARI,W 19-3,4,12,3.00,0,3,2,3,1.50,0,0,0,,0,0,0,0.0,0,0
44,2014,12,2014-11-27,24-360,SEA,@,SFO,W 19-3,4,8,2.00,0,2,2,47,23.50,1,0,0,,0,1,6,0.0,0,0
45,2014,13,2014-12-07,25-005,SEA,@,PHI,W 24-14,4,7,1.75,0,2,1,14,14.00,0,0,0,,0,0,0,0.0,0,0
46,2014,14,2014-12-14,25-012,SEA,,SFO,W 17-7,5,33,6.60,0,0,0,0,,0,0,0,,0,0,0,0.0,1,0
47,2014,15,2014-12-21,25-019,SEA,@,ARI,W 35-6,10,38,3.80,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
48,2014,16,2014-12-28,25-026,SEA,,STL,W 20-6,11,53,4.82,0,1,1,13,13.00,0,0,0,,0,0,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
49,2015,6,2015-10-18,25-320,CLE,,DEN,L 23-26,10,27,2.70,0,1,0,0,,0,0,0,,0,0,0,0.0,0,0
50,2015,7,2015-10-25,25-327,CLE,@,STL,L 6-24,5,30,6.00,0,2,2,8,4.00,0,0,0,,0,0,0,0.0,0,0
,,,50 Games,,,,,36-14-0,246,985,4.00,0,58,45,435,9.67,2,8,177,22.13,0,2,12,0.0,4,1
