
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Sk,Tkl,Ast
1,2014,1,2014-09-07,23-206,STL,,MIN,L 6-34,,,,,,,,,,,,
2,2014,3,2014-09-21,23-220,STL,,DAL,L 31-34,5,24,4.80,0,0,0,0,,0,0.0,1,0
3,2014,4,2014-10-05,23-234,STL,@,PHI,L 28-34,2,6,3.00,0,2,2,12,6.00,0,0.0,0,0
4,2014,5,2014-10-13,23-242,STL,,SFO,L 17-31,0,0,,0,0,0,0,,0,0.0,1,0
5,2014,6,2014-10-19,23-248,STL,,SEA,W 28-26,,,,,,,,,,,,
6,2014,7,2014-10-26,23-255,STL,@,KAN,L 7-34,,,,,,,,,,,,
7,2014,8,2014-11-02,23-262,STL,@,SFO,W 13-10,0,0,,0,1,1,6,6.00,0,0.0,0,0
8,2014,10,2014-11-16,23-276,STL,,DEN,W 22-7,0,0,,0,,0,0,,0,0.0,0,1
9,2014,11,2014-11-23,23-283,STL,@,SDG,L 24-27,,,,,,,,,,,,
10,2014,12,2014-11-30,23-290,STL,,OAK,W 52-0,0,0,,0,1,0,0,,0,0.0,1,0
11,2014,13,2014-12-07,23-297,STL,@,WAS,W 24-0,0,0,,0,,0,0,,0,0.0,1,0
12,2014,14,2014-12-11,23-301,STL,,ARI,L 6-12,,,,,0,,,,,,,
13,2014,15,2014-12-21,23-311,STL,,NYG,L 27-37,,,,,,,,,,,,
14,2014,16,2014-12-28,23-318,STL,@,SEA,L 6-20,,,,,,,,,,,,
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Sk,Tkl,Ast
15,2015,6,2015-10-25,24-254,STL,,CLE,W 24-6,0,0,,0,0,0,0,,0,0.0,0,0
,,,15 Games,,,,,6-9-0,7,30,4.29,0,4,3,18,6.00,0,0.0,4,1
