
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,2014,4,2014-09-29,22-238,NWE,@,KAN,L 14-41,3,21,7.00,0,3,3,15,5.00,0
2,2014,8,2014-10-26,22-265,NWE,,CHI,W 51-23,6,17,2.83,0,0,0,0,,0
3,2014,16,2014-12-28,22-328,NWE,,BUF,L 9-17,0,0,,0,2,2,8,4.00,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
4,2015,1,2015-09-10,23-219,NWE,,PIT,W 28-21,0,0,,0,0,0,0,,0
5,2015,3,2015-09-27,23-236,NWE,,JAX,W 51-17,2,8,4.00,0,4,4,26,6.50,0
6,2015,4,2015-10-11,23-250,NWE,@,DAL,W 30-6,0,0,,0,0,0,0,,0
7,2015,5,2015-10-18,23-257,NWE,@,IND,W 34-27,0,0,,0,1,0,0,,0
8,2015,6,2015-10-25,23-264,NWE,,NYJ,W 30-23,2,4,2.00,0,5,3,26,8.67,0
9,2015,7,2015-10-29,23-268,NWE,,MIA,W 36-7,3,3,1.00,0,0,0,0,,0
10,2015,9,2015-11-15,23-285,NWE,@,NYG,W 27-26,1,5,5.00,0,1,1,6,6.00,0
,,,10 Games,,,,,8-2-0,17,58,3.41,0,16,13,81,6.23,0
