
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,1985,1,1985-09-08,22-096,CLE,,STL,L 24-27,0,0,,0,1,4,4.00,0
2,1985,2,1985-09-16,22-104,CLE,,PIT,W 17-7,0,0,,0,0,0,,0
3,1985,3,1985-09-22,22-110,CLE,@,DAL,L 7-20,0,0,,0,0,0,,0
4,1985,4,1985-09-29,22-117,CLE,@,SDG,W 21-7,6,28,4.67,0,0,0,,0
5,1985,5,1985-10-06,22-124,CLE,,NWE,W 24-20,0,0,,0,0,0,,0
6,1985,6,1985-10-13,22-131,CLE,@,HOU,W 21-6,2,4,2.00,0,0,0,,0
7,1985,7,1985-10-20,22-138,CLE,,RAI,L 20-21,0,0,,0,0,0,,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
8,1986,13,1986-11-30,23-179,TAM,@,MIN,L 13-45,0,0,,0,1,21,21.00,0
9,1986,16,1986-12-21,23-200,TAM,@,STL,L 17-21,1,3,3.00,0,0,0,,0
,,,9 Games,,,,,4-5-0,9,35,3.89,0,2,25,12.50,0
